number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
5-комнатная квартира,63000000.0,9.0,151.0,9.0,,,2004.0,,2 с/у и более,частично меблирована
2-комнатная квартира,22761000.0,,56.2,,ALMA VILLA,,2022.0,3.15,совмещенный,
3-комнатная квартира,94185000.0,,144.9,,Hayat Park,,2021.0,3.3,2 с/у и более,
3-комнатная квартира,69088950.0,,109.0,,4YOU,,2022.0,2.7,2 с/у и более,
1-комнатная квартира,25724000.0,,47.2,,Дом на Гагарина,,2019.0,2.7,раздельный,
2-комнатная квартира,22500000.0,5.0,44.7,5.0,,,1976.0,2.5,раздельный,
4-комнатная квартира,83000000.0,9.0,150.0,16.0,Гаухартас,,2009.0,3,2 с/у и более,пустая
3-комнатная квартира,46000000.0,5.0,88.0,16.0,Шахристан,монолитный,2014.0,2.95,раздельный,полностью меблирована
4-комнатная квартира,200000000.0,5.0,200.0,7.0,Miras Park,монолитный,2016.0,3.3,2 с/у и более,полностью меблирована
1-комнатная квартира,21500000.0,1.0,40.0,9.0,,,1976.0,,совмещенный,
2-комнатная квартира,26244000.0,,64.8,,ALMA VILLA,,2022.0,3.15,совмещенный,
3-комнатная квартира,97890000.0,,150.6,,Hayat Park,,2021.0,3.3,2 с/у и более,
4-комнатная квартира,99190000.0,,141.0,,4YOU,,2021.0,2.7,2 с/у и более,
1-комнатная квартира,26269000.0,,48.2,,Дом на Гагарина,,2019.0,2.7,раздельный,
4-комнатная квартира,67990000.0,,104.6,,Grande vie,,2022.0,3,2 с/у и более,
3-комнатная квартира,38857500.0,,78.5,,Rams city,,2023.0,2.7,совмещенный,
1-комнатная квартира,39667250.0,,59.65,,Jer-Ana Residence,,2022.0,3,совмещенный,
4-комнатная квартира,75672000.0,,144.0,,Сакура,,2020.0,3.3,2 с/у и более,
1-комнатная квартира,46092000.0,,66.8,,Венский дом,,2018.0,3.15,совмещенный,
3-комнатная квартира,28500000.0,4.0,63.0,5.0,,,1975.0,,раздельный,частично меблирована
1-комнатная квартира,28500000.0,8.0,45.0,17.0,Асыл Тау,,2015.0,2.7,раздельный,
2-комнатная квартира,26000000.0,1.0,40.2,4.0,,,1963.0,,совмещенный,полностью меблирована
3-комнатная квартира,26000000.0,5.0,55.6,5.0,,панельный,1977.0,2.7,совмещенный,частично меблирована
3-комнатная квартира,117650000.0,,181.0,,Hayat Park,,2021.0,3.3,2 с/у и более,
4-комнатная квартира,100678400.0,,157.0,,4YOU,,2022.0,2.7,2 с/у и более,
2-комнатная квартира,33354000.0,,61.2,,Дом на Гагарина,,2019.0,2.7,совмещенный,
3-комнатная квартира,64000000.0,2.0,127.0,12.0,Бай–тал,монолитный,2016.0,2.8,2 с/у и более,полностью меблирована
2-комнатная квартира,28500000.0,9.0,58.0,9.0,,,1982.0,2.85,раздельный,частично меблирована
2-комнатная квартира,39000000.0,16.0,63.0,17.0,Асыл Тау,монолитный,2016.0,,,
2-комнатная квартира,56000000.0,5.0,81.2,8.0,4YOU,монолитный,2021.0,2.7,совмещенный,пустая
