number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2-комнатная квартира,14000000.0,1.0,45.3,2.0,,,,2.8,раздельный,полностью меблирована
1-комнатная квартира,16500000.0,1.0,44.5,9.0,,монолитный,2016,2.7,совмещенный,частично меблирована
2-комнатная квартира,17500000.0,1.0,43.9,3.0,,,1973,2.7,раздельный,
1-комнатная квартира,19000000.0,1.0,42.0,3.0,Nomad City,кирпичный,2020,3.0,совмещенный,полностью меблирована
2-комнатная квартира,18500000.0,1.0,52.0,4.0,,,1992,2.8,раздельный,
3-комнатная квартира,30000000.0,2.0,70.0,5.0,,,1990,,раздельный,
3-комнатная квартира,15500000.0,1.0,53.0,3.0,,,1961,2.5,совмещенный,частично меблирована
3-комнатная квартира,22500000.0,2.0,106.0,2.0,,,1973,,,
2-комнатная квартира,15500000.0,1.0,40.0,3.0,,,1960,3.0,совмещенный,частично меблирована
3-комнатная квартира,35000000.0,1.0,85.7,9.0,,,2016,2.85,раздельный,пустая
2-комнатная квартира,23800002.0,2.0,63.0,5.0,,,2017,,раздельный,полностью меблирована
2-комнатная квартира,14000000.0,2.0,41.3,2.0,,,,2.8,совмещенный,
1-комнатная квартира,15000000.0,5.0,33.5,5.0,,,2015,2.5,раздельный,
1-комнатная квартира,15000000.0,8.0,47.0,9.0,,,2007,2.7,совмещенный,пустая
2-комнатная квартира,18500000.0,5.0,59.0,5.0,,,2006,2.7,раздельный,
3-комнатная квартира,32000000.0,2.0,71.4,5.0,,,2002,2.7,раздельный,полностью меблирована
2-комнатная квартира,22000000.0,5.0,50.0,5.0,,панельный,1994,2.7,совмещенный,частично меблирована
1-комнатная квартира,6500000.0,1.0,17.0,3.0,,,,,раздельный,частично меблирована
1-комнатная квартира,7500000.0,2.0,27.0,3.0,,,1986,2.65,раздельный,
2-комнатная квартира,14000000.0,1.0,47.0,2.0,,,,2.8,совмещенный,пустая
3-комнатная квартира,45000000.0,2.0,69.0,6.0,,,1988,2.76,раздельный,
3-комнатная квартира,23000000.0,2.0,70.0,2.0,,,1970,2.7,совмещенный,частично меблирована
2-комнатная квартира,23500000.0,5.0,60.8,6.0,,,2009,2.7,раздельный,частично меблирована
3-комнатная квартира,22500000.0,5.0,68.8,5.0,,,1994,2.6,раздельный,частично меблирована
2-комнатная квартира,22000000.0,4.0,49.5,5.0,,,1986,2.8,раздельный,частично меблирована
3-комнатная квартира,22500000.0,1.0,58.0,3.0,,,1983,2.5,раздельный,частично меблирована
2-комнатная квартира,23000000.0,1.0,64.0,5.0,,монолитный,2017,2.7,раздельный,частично меблирована
2-комнатная квартира,20000000.0,1.0,49.0,1.0,,,,,совмещенный,
2-комнатная квартира,16500000.0,1.0,44.0,5.0,,,1989,,раздельный,
3-комнатная квартира,28000000.0,2.0,70.5,3.0,,,1986,2.7,раздельный,пустая
1-комнатная квартира,18000000.0,1.0,56.0,2.0,,,2019,,совмещенный,
2-комнатная квартира,18500000.0,4.0,51.0,4.0,,,1973,,раздельный,
3-комнатная квартира,16000000.0,2.0,72.0,2.0,,,,2.75,раздельный,полностью меблирована
2-комнатная квартира,25000000.0,3.0,55.4,3.0,Nomad City,кирпичный,2019,3.0,совмещенный,частично меблирована
2-комнатная квартира,13500000.0,2.0,38.0,2.0,,,1970,2.7,совмещенный,пустая
1-комнатная квартира,6300000.0,2.0,19.0,2.0,,,1968,2.8,,пустая
2-комнатная квартира,27000000.0,6.0,63.9,9.0,,,2016,2.7,раздельный,частично меблирована
3-комнатная квартира,27000000.0,2.0,80.0,6.0,,,2007,,раздельный,частично меблирована
2-комнатная квартира,17000000.0,5.0,52.0,5.0,,,1989,,раздельный,
2-комнатная квартира,14500000.0,2.0,40.0,3.0,,кирпичный,1968,2.5,совмещенный,
3-комнатная квартира,23500000.0,1.0,67.2,5.0,,,1986,2.75,раздельный,частично меблирована
2-комнатная квартира,23000000.0,5.0,57.0,6.0,,,,2.65,раздельный,частично меблирована
2-комнатная квартира,13999000.0,1.0,42.0,2.0,,,,2.7,совмещенный,полностью меблирована
3-комнатная квартира,28000000.0,1.0,70.0,5.0,,,1990,2.8,раздельный,частично меблирована
1-комнатная квартира,18000000.0,4.0,33.1,5.0,,,1980,,совмещенный,
2-комнатная квартира,14500000.0,1.0,43.0,3.0,,,1962,2.8,совмещенный,
2-комнатная квартира,22000000.0,8.0,64.0,9.0,,,2007,2.8,раздельный,полностью меблирована
3-комнатная квартира,29900000.0,5.0,85.0,6.0,По Спасской,панельный,2008,2.85,раздельный,частично меблирована
2-комнатная квартира,16500000.0,9.0,45.9,9.0,,,1989,2.7,раздельный,частично меблирована
1-комнатная квартира,17000000.0,5.0,39.0,9.0,PARASAT,монолитный,2020,2.75,,
3-комнатная квартира,41000000.0,1.0,70.0,5.0,,,1990,2.5,раздельный,частично меблирована
3-комнатная квартира,23000000.0,2.0,78.0,2.0,,,1953,3.0,совмещенный,
2-комнатная квартира,23000000.0,3.0,63.4,9.0,,,2016,2.75,2 с/у и более,
2-комнатная квартира,22000000.0,5.0,59.0,5.0,,,2006,,раздельный,частично меблирована
3-комнатная квартира,18000000.0,1.0,58.0,3.0,,,1965,2.6,совмещенный,
1-комнатная квартира,17000000.0,1.0,42.0,4.0,,,1990,2.8,совмещенный,
2-комнатная квартира,24500000.0,4.0,50.0,5.0,,,1989,2.8,раздельный,частично меблирована
3-комнатная квартира,27000000.0,2.0,89.0,2.0,,,1938,2.9,раздельный,
2-комнатная квартира,17000000.0,2.0,44.0,3.0,,,1966,,совмещенный,
3-комнатная квартира,23000000.0,4.0,63.0,4.0,,,1976,2.8,раздельный,полностью меблирована
2-комнатная квартира,8000000.0,2.0,36.0,4.0,,,1979,2.7,раздельный,
1-комнатная квартира,16000000.0,4.0,40.0,5.0,,,2017,,совмещенный,частично меблирована
3-комнатная квартира,25000000.0,4.0,63.0,4.0,,,1974,2.8,раздельный,частично меблирована
2-комнатная квартира,13900000.0,5.0,41.7,5.0,,,1984,2.7,раздельный,
1-комнатная квартира,11500000.0,4.0,30.0,4.0,,,1979,2.7,,
3-комнатная квартира,25000000.0,9.0,96.0,9.0,,монолитный,2009,,раздельный,
1-комнатная квартира,7200000.0,2.0,19.0,3.0,,,1978,4.0,раздельный,полностью меблирована
2-комнатная квартира,22000000.0,4.0,42.1,5.0,,,1991,2.7,раздельный,
2-комнатная квартира,15000000.0,1.0,51.0,1.0,,,1964,3.0,совмещенный,
2-комнатная квартира,17500000.0,3.0,45.6,3.0,,,1984,2.8,совмещенный,частично меблирована
2-комнатная квартира,15000000.0,3.0,44.0,4.0,,,1973,,раздельный,частично меблирована
1-комнатная квартира,15300000.0,4.0,40.0,5.0,,,2017,,совмещенный,
2-комнатная квартира,9250000.0,2.0,40.0,3.0,,,1970,2.8,совмещенный,
2-комнатная квартира,20000000.0,1.0,49.1,5.0,,,1987,2.6,раздельный,частично меблирована
1-комнатная квартира,16500000.0,1.0,44.0,9.0,,,2016,,совмещенный,
1-комнатная квартира,16500000.0,2.0,40.0,5.0,,монолитный,2017,,совмещенный,
1-комнатная квартира,7300000.0,1.0,28.0,6.0,,,2009,2.7,совмещенный,полностью меблирована
3-комнатная квартира,27500000.0,3.0,66.0,3.0,,,1985,,совмещенный,
3-комнатная квартира,30000000.0,9.0,95.0,9.0,,,2007,,раздельный,частично меблирована
2-комнатная квартира,15300000.0,2.0,44.2,2.0,,,1962,2.7,совмещенный,частично меблирована
1-комнатная квартира,12000000.0,1.0,30.0,2.0,,,,2.8,раздельный,пустая
3-комнатная квартира,26500000.0,5.0,71.6,5.0,,,1994,2.75,раздельный,
2-комнатная квартира,10500000.0,2.0,43.0,2.0,,,1961,2.5,раздельный,частично меблирована
1-комнатная квартира,13500000.0,3.0,34.0,5.0,,,2016,,совмещенный,пустая
1-комнатная квартира,18000000.0,10.0,52.0,10.0,,,,3.0,,
2-комнатная квартира,26500000.0,3.0,50.5,3.0,,кирпичный,1979,2.7,раздельный,частично меблирована
2-комнатная квартира,23000000.0,2.0,52.0,3.0,,,1981,2.75,раздельный,полностью меблирована
2-комнатная квартира,18000000.0,1.0,41.0,4.0,,,,2.7,раздельный,частично меблирована
2-комнатная квартира,22000000.0,8.0,64.0,9.0,,,2006,2.8,раздельный,
2-комнатная квартира,16500000.0,1.0,48.0,2.0,,,1954,,совмещенный,частично меблирована
2-комнатная квартира,17500000.0,2.0,46.5,4.0,,,1972,2.7,раздельный,
3-комнатная квартира,27900000.0,7.0,95.0,9.0,,,2007,,раздельный,частично меблирована
1-комнатная квартира,17400000.0,2.0,40.0,5.0,,,2017,,совмещенный,
3-комнатная квартира,26700000.0,6.0,77.0,9.0,,,2016,,раздельный,
3-комнатная квартира,31500000.0,2.0,154.0,2.0,,,,,2 с/у и более,пустая
2-комнатная квартира,21900000.0,4.0,60.0,5.0,,,2010,,раздельный,частично меблирована
2-комнатная квартира,25500000.0,3.0,63.4,5.0,,монолитный,2018,,раздельный,частично меблирована
1-комнатная квартира,11000000.0,1.0,37.0,3.0,,,1960,3.0,раздельный,частично меблирована
2-комнатная квартира,16800000.0,2.0,50.0,3.0,,,1984,2.7,раздельный,частично меблирована
3-комнатная квартира,19700000.0,3.0,57.9,3.0,,,1965,2.57,раздельный,полностью меблирована
2-комнатная квартира,16500000.0,1.0,48.0,2.0,,,1954,,совмещенный,полностью меблирована
3-комнатная квартира,29800000.0,1.0,78.0,9.0,,,2017,2.8,раздельный,полностью меблирована
2-комнатная квартира,20000000.0,2.0,47.0,4.0,,,,,,
2-комнатная квартира,18000000.0,1.0,50.6,5.0,,,1985,2.7,раздельный,
2-комнатная квартира,23000000.0,5.0,63.0,8.0,,монолитный,2008,2.7,раздельный,частично меблирована
1-комнатная квартира,11000000.0,10.0,28.3,10.0,,,2021,3.0,раздельный,пустая
3-комнатная квартира,26000000.0,5.0,70.0,5.0,,кирпичный,1995,,раздельный,частично меблирована
2-комнатная квартира,27000000.0,7.0,54.0,9.0,PARASAT,монолитный,2020,2.7,раздельный,
1-комнатная квартира,12300000.0,1.0,29.5,3.0,,,1960,,совмещенный,частично меблирована
3-комнатная квартира,33000000.0,6.0,78.0,6.0,,,2012,2.7,раздельный,частично меблирована
1-комнатная квартира,15500000.0,5.0,42.0,6.0,,,2008,3.0,совмещенный,полностью меблирована
3-комнатная квартира,15000000.0,2.0,54.0,2.0,,,,2.4,раздельный,частично меблирована
3-комнатная квартира,14000000.0,1.0,61.0,1.0,,,1982,2.7,раздельный,
2-комнатная квартира,9500000.0,2.0,39.0,2.0,,,,,совмещенный,
2-комнатная квартира,20000000.0,3.0,56.0,5.0,,,1995,,раздельный,
3-комнатная квартира,19500000.0,6.0,70.0,6.0,,монолитный,2008,,раздельный,
1-комнатная квартира,12800000.0,4.0,35.0,5.0,,,1986,2.8,совмещенный,
1-комнатная квартира,3200000.0,1.0,14.0,2.0,,,,,совмещенный,
3-комнатная квартира,26900000.0,1.0,68.0,5.0,,,1988,,раздельный,полностью меблирована
2-комнатная квартира,19000000.0,2.0,51.0,4.0,,,1969,2.7,раздельный,частично меблирована
2-комнатная квартира,17500000.0,1.0,50.0,2.0,,,1960,3.0,раздельный,частично меблирована
1-комнатная квартира,19500000.0,1.0,40.95,9.0,PARASAT,монолитный,2020,,,
3-комнатная квартира,22500000.0,2.0,63.8,2.0,,,1959,,раздельный,частично меблирована
3-комнатная квартира,28000000.0,3.0,77.0,5.0,,,2013,,раздельный,частично меблирована
3-комнатная квартира,27000000.0,2.0,77.0,5.0,,,2006,,раздельный,частично меблирована
1-комнатная квартира,15300000.0,8.0,48.0,10.0,Теремки,монолитный,2021,2.7,совмещенный,пустая
3-комнатная квартира,25000000.0,2.0,64.0,2.0,,,1986,2.8,раздельный,частично меблирована
3-комнатная квартира,32500000.0,2.0,69.0,6.0,,,1989,,раздельный,частично меблирована
3-комнатная квартира,21000000.0,6.0,70.0,6.0,,монолитный,2007,2.8,раздельный,полностью меблирована
1-комнатная квартира,14700000.0,3.0,35.0,5.0,,,,,совмещенный,полностью меблирована
3-комнатная квартира,15500000.0,1.0,53.0,3.0,,,1961,2.6,совмещенный,полностью меблирована
3-комнатная квартира,25000000.0,6.0,81.6,6.0,,,,3.0,,
1-комнатная квартира,16500000.0,1.0,44.0,9.0,,монолитный,2016,,совмещенный,пустая
1-комнатная квартира,13500000.0,6.0,47.0,10.0,Теремки,монолитный,2021,2.7,совмещенный,
2-комнатная квартира,17800000.0,10.0,65.0,10.0,Теремки,монолитный,2021,2.7,2 с/у и более,
2-комнатная квартира,14800000.0,2.0,40.0,3.0,,,1968,2.7,совмещенный,
2-комнатная квартира,25000000.0,4.0,62.0,6.0,,,2007,,,
1-комнатная квартира,16500000.0,2.0,40.0,5.0,,монолитный,2017,,совмещенный,полностью меблирована
1-комнатная квартира,17000000.0,3.0,40.0,9.0,,,2016,,совмещенный,частично меблирована
2-комнатная квартира,24500000.0,4.0,53.9,5.0,,,2013,,раздельный,частично меблирована
2-комнатная квартира,24000000.0,3.0,56.0,6.0,,,2008,,раздельный,частично меблирована
3-комнатная квартира,17000000.0,1.0,60.0,2.0,,,1960,,совмещен,
2-комнатная квартира,8000000.0,2.0,35.0,2.0,,,1970,2.7,совмещенный,частично меблирована
2-комнатная квартира,23000000.0,12.0,50.0,13.0,Varlamova,монолитный,2017,3.0,2 с/у и более,пустая
2-комнатная квартира,20500000.0,2.0,57.0,6.0,,,2008,2.8,раздельный,полностью меблирована
3-комнатная квартира,25000000.0,1.0,60.0,3.0,,,1978,2.79,раздельный,полностью меблирована
3-комнатная квартира,24000000.0,4.0,69.0,5.0,,,1996,2.8,раздельный,частично меблирована
2-комнатная квартира,23200000.0,2.0,57.8,5.0,,,1989,,,
2-комнатная квартира,21500000.0,3.0,67.0,5.0,,,2016,,раздельный,частично меблирована
2-комнатная квартира,10500000.0,2.0,48.0,2.0,,,,,,
2-комнатная квартира,17000000.0,2.0,41.5,3.0,,,1966,2.7,совмещенный,частично меблирована
2-комнатная квартира,25000000.0,3.0,64.0,5.0,,,2018,,,
2-комнатная квартира,17500000.0,5.0,53.0,5.0,,,1988,,раздельный,
1-комнатная квартира,5500000.0,2.0,22.2,2.0,,,1970,,,частично меблирована
2-комнатная квартира,23000000.0,3.0,62.0,5.0,,монолитный,2016,,,
1-комнатная квартира,12300000.0,3.0,30.0,3.0,,,1970,2.8,совмещенный,
2-комнатная квартира,18500000.0,2.0,43.0,2.0,,,1958,2.8,совмещенный,пустая
2-комнатная квартира,23500000.0,5.0,71.0,5.0,,,2016,,раздельный,частично меблирована
2-комнатная квартира,25000000.0,5.0,55.0,5.0,,,1988,,совмещенный,полностью меблирована
3-комнатная квартира,23000000.0,4.0,68.0,4.0,,,1979,2.7,совмещенный,частично меблирована
1-комнатная квартира,17000000.0,1.0,47.6,9.0,,монолитный,2006,,,
2-комнатная квартира,13000000.0,2.0,22.5,2.0,,,1970,2.8,совмещенный,полностью меблирована
2-комнатная квартира,20000000.0,3.0,56.0,5.0,,,1995,2.7,,
2-комнатная квартира,17800000.0,2.0,47.0,3.0,,,1980,,раздельный,
2-комнатная квартира,11000000.0,2.0,48.0,2.0,,,,,совмещенный,
3-комнатная квартира,30000000.0,1.0,86.7,5.0,,,2017,3.0,раздельный,пустая
1-комнатная квартира,19500000.0,6.0,36.5,9.0,,,,2.7,совмещенный,полностью меблирована
1-комнатная квартира,13600000.0,5.0,33.7,5.0,,,1988,,совмещенный,частично меблирована
1-комнатная квартира,6100000.0,2.0,20.0,2.0,,,1965,,,
2-комнатная квартира,10000000.0,2.0,40.2,2.0,,,,,раздельный,частично меблирована
2-комнатная квартира,13000000.0,1.0,42.0,3.0,,,1963,,совмещенный,
