number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,27815200.0,,49.67,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
1-комнатная квартира,13500000.0,3.0,31.8,5.0,,,1988,,совмещенный,частично меблирована
3-комнатная квартира,35000000.0,10.0,89.0,10.0,Alma City,монолитный,2020,2.7,2 с/у и более,полностью меблирована
2-комнатная квартира,28464800.0,,50.83,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
3-комнатная квартира,30300000.0,4.0,132.0,16.0,Премьера,монолитный,2013,2.8,2 с/у и более,частично меблирована
2-комнатная квартира,32000000.0,12.0,108.0,16.0,Премьера,монолитный,2013,2.8,2 с/у и более,полностью меблирована
1-комнатная квартира,30934400.0,,55.24,,Lancashire,,"3 этажа, 2022",3.2,совмещенный,
2-комнатная квартира,23500000.0,6.0,94.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
3-комнатная квартира,30500000.0,6.0,74.0,9.0,Шугыла,монолитный,2016,2.7,,
2-комнатная квартира,29000000.0,8.0,108.0,16.0,Премьера,монолитный,,,,
1-комнатная квартира,19000000.0,10.0,65.0,16.0,Премьера,монолитный,2013,,,
2-комнатная квартира,32320000.0,1.0,58.0,3.0,Felicita,монолитный,2021,3.0,2 с/у и более,пустая
1-комнатная квартира,14500000.0,15.0,38.0,16.0,Gulder,,2022,2.7,,
2-комнатная квартира,25000000.0,5.0,93.0,16.0,Премьера,монолитный,2013,,,
2-комнатная квартира,22000000.0,15.0,75.0,16.0,Премьера,монолитный,2013,,,
2-комнатная квартира,26000000.0,3.0,72.0,10.0,,,2020,2.6,раздельный,полностью меблирована
3-комнатная квартира,53000000.0,7.0,109.0,9.0,,,2006,,,
2-комнатная квартира,30000000.0,4.0,108.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
3-комнатная квартира,36000000.0,6.0,130.0,6.0,Премьера,монолитный,2014,,2 с/у и более,частично меблирована
2-комнатная квартира,25000000.0,3.0,62.8,9.0,Шугыла,монолитный,2017,2.7,раздельный,частично меблирована
7-комнатная квартира,178000000.0,,242.9,,Crystal Air Village (КГ),монолитный,2004,2.7,2 с/у и более,полностью меблирована
1-комнатная квартира,16500000.0,7.0,41.0,10.0,,,2017,,совмещенный,
3-комнатная квартира,41000000.0,9.0,84.0,10.0,Хан-Тенгри,монолитный,2011,2.9,2 с/у и более,
3-комнатная квартира,36500000.0,14.0,110.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
1-комнатная квартира,20500000.0,3.0,64.0,16.0,Премьера,монолитный,2014,2.8,совмещенный,частично меблирована
1-комнатная квартира,22000000.0,6.0,64.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,полностью меблирована
1-комнатная квартира,22500000.0,11.0,64.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
3-комнатная квартира,45000000.0,12.0,130.0,16.0,Премьера,монолитный,2013,2.8,2 с/у и более,полностью меблирована
2-комнатная квартира,25700000.0,13.0,93.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
2-комнатная квартира,29000000.0,2.0,67.8,9.0,,,2009,2.8,раздельный,
2-комнатная квартира,17800000.0,2.0,42.0,10.0,,,2017,,совмещенный,
1-комнатная квартира,7750000.0,5.0,30.0,5.0,,,2021,2.7,,пустая
1-комнатная квартира,18500000.0,8.0,40.0,9.0,,,2019,,,полностью меблирована
2-комнатная квартира,19450000.0,1.0,60.0,10.0,Alma City,монолитный,2019,2.8,совмещенный,частично меблирована
2-комнатная квартира,33000000.0,9.0,108.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,
2-комнатная квартира,32000000.0,6.0,94.0,16.0,Премьера,монолитный,2014,2.8,совмещенный,полностью меблирована
2-комнатная квартира,24500000.0,8.0,60.0,16.0,Премьера,монолитный,2013,2.8,раздельный,частично меблирована
3-комнатная квартира,40000000.0,15.0,130.0,16.0,Премьера,монолитный,2014,2.8,2 с/у и более,частично меблирована
1-комнатная квартира,19800000.0,12.0,71.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,пустая
1-комнатная квартира,17000000.0,7.0,41.0,9.0,Alma City,монолитный,2019,2.8,совмещенный,
1-комнатная квартира,22500000.0,,40.0,,Хан-Тенгри,монолитный,2014,2.7,раздельный,полностью меблирована
2-комнатная квартира,17800000.0,2.0,42.0,10.0,,,2016,,совмещенный,пустая
2-комнатная квартира,29000000.0,15.0,106.0,16.0,Премьера,монолитный,2014,2.8,совмещенный,частично меблирована
2-комнатная квартира,15000000.0,2.0,63.0,4.0,,,2022,,,
3-комнатная квартира,42000000.0,2.0,88.0,9.0,Хан-Тенгри,монолитный,2012,,раздельный,
3-комнатная квартира,35000000.0,8.0,116.7,12.0,Премьера,монолитный,2011,2.8,2 с/у и более,частично меблирована
1-комнатная квартира,16700000.0,6.0,44.5,10.0,Alma City,монолитный,2019,2.8,совмещенный,полностью меблирована
2-комнатная квартира,26566400.0,3.0,47.44,4.0,Lancashire,монолитный,2022,3.2,совмещенный,пустая
1-комнатная квартира,16100000.0,8.0,42.0,10.0,Alma City,монолитный,2021,,,
3-комнатная квартира,88900000.0,3.0,170.0,4.0,,,2012,3.0,2 с/у и более,полностью меблирована
1-комнатная квартира,12000000.0,2.0,23.8,3.0,Pioneer,монолитный,2019,3.0,совмещенный,полностью меблирована
1-комнатная квартира,18500000.0,14.0,58.8,16.0,Премьера,монолитный,2012,3.1,совмещенный,полностью меблирована
1-комнатная квартира,11000000.0,8.0,28.0,10.0,Alma City,монолитный,2020,2.8,совмещенный,частично меблирована
6-комнатная квартира,85000000.0,1.0,210.0,3.0,,,2016,3.0,2 с/у и более,частично меблирована
1-комнатная квартира,23500000.0,3.0,48.1,9.0,,,2010,2.75,совмещенный,
3-комнатная квартира,24500000.0,1.0,110.5,16.0,Премьера,монолитный,2014,2.85,совмещенный,
3-комнатная квартира,22000000.0,1.0,76.0,5.0,,,1991,2.7,раздельный,
1-комнатная квартира,15500000.0,3.0,35.4,6.0,,,2019,,совмещенный,частично меблирована
1-комнатная квартира,12500000.0,5.0,28.0,10.0,Alma City,монолитный,2020,2.8,совмещенный,полностью меблирована
2-комнатная квартира,15024000.0,2.0,62.6,4.0,,,,2.8,,
3-комнатная квартира,28800000.0,2.0,78.0,6.0,,,2017,,совмещенный,
1-комнатная квартира,16500000.0,10.0,44.0,10.0,,,2018,,,
4-комнатная квартира,74000000.0,6.0,134.3,9.0,Аль-Фараби,,2010,2.8,2 с/у и более,полностью меблирована
3-комнатная квартира,24500000.0,2.0,64.0,3.0,,,1985,2.8,раздельный,полностью меблирована
3-комнатная квартира,27500000.0,9.0,76.0,9.0,Шугыла,монолитный,2018,2.8,раздельный,
3-комнатная квартира,32500000.0,3.0,132.0,16.0,Премьера,монолитный,2014,2.8,2 с/у и более,полностью меблирована
2-комнатная квартира,23400000.0,13.0,74.0,16.0,Премьера,монолитный,2012,2.8,совмещенный,частично меблирована
2-комнатная квартира,24500000.0,1.0,84.0,16.0,Премьера,монолитный,2014,2.85,совмещенный,частично меблирована
2-комнатная квартира,14990000.0,9.0,51.0,10.0,,,2017,2.65,,
3-комнатная квартира,32000000.0,3.0,80.0,3.0,,,2015,,2 с/у и более,частично меблирована
1-комнатная квартира,18200000.0,14.0,61.0,16.0,Премьера,монолитный,2012,3.0,,частично меблирована
2-комнатная квартира,19000000.0,15.0,61.0,16.0,Премьера,монолитный,2012,3.0,,частично меблирована
3-комнатная квартира,28500000.0,9.0,83.0,10.0,Alma City,монолитный,2020,2.7,совмещенный,частично меблирована
3-комнатная квартира,29500000.0,1.0,76.0,9.0,Шугыла,монолитный,2018,2.7,раздельный,
2-комнатная квартира,26000000.0,9.0,98.0,16.0,Премьера,монолитный,2013,2.7,2 с/у и более,
1-комнатная квартира,12950000.0,2.0,30.0,10.0,,,,2.7,совмещенный,
3-комнатная квартира,30000000.0,5.0,88.0,9.0,Шугыла,монолитный,2020,2.7,раздельный,пустая
2-комнатная квартира,24900000.0,16.0,98.0,16.0,Премьера,монолитный,2012,2.8,совмещенный,полностью меблирована
2-комнатная квартира,18000000.0,4.0,43.0,10.0,,,2018,2.7,совмещенный,пустая
3-комнатная квартира,19900000.0,3.0,63.0,5.0,,,1996,,совмещенный,пустая
3-комнатная квартира,57000000.0,4.0,106.0,9.0,Аль-Фараби,монолитный,2009,2.7,2 с/у и более,частично меблирована
1-комнатная квартира,17500000.0,5.0,43.4,10.0,Alma City,монолитный,2020,2.7,совмещенный,частично меблирована
2-комнатная квартира,6800000.0,2.0,27.0,2.0,,,1974,2.7,совмещенный,частично меблирована
2-комнатная квартира,30999000.0,3.0,108.0,16.0,Премьера,монолитный,2015,,раздельный,частично меблирована
1-комнатная квартира,18000000.0,6.0,40.0,9.0,Шугыла,,2018,2.8,совмещенный,частично меблирована
2-комнатная квартира,20000000.0,9.0,64.0,10.0,Alma City,монолитный,2021,2.7,,
1-комнатная квартира,7500000.0,1.0,21.0,3.0,,,2013,2.7,совмещенный,полностью меблирована
2-комнатная квартира,20000000.0,9.0,64.1,10.0,Alma City,монолитный,2021,2.7,,
1-комнатная квартира,14000000.0,4.0,44.0,9.0,Alma City,монолитный,2021,,,
2-комнатная квартира,23000000.0,10.0,74.0,16.0,Премьера,монолитный,2014,,совмещенный,частично меблирована
1-комнатная квартира,15000000.0,6.0,36.6,6.0,Alma City,монолитный,2020,3.0,совмещенный,частично меблирована
1-комнатная квартира,18500000.0,9.0,40.55,12.0,Gulder,,2021,2.8,,
1-комнатная квартира,12500000.0,6.0,26.9,10.0,Alma City,,2020,,,
1-комнатная квартира,17500000.0,4.0,37.0,16.0,Gulder,монолитный,2021,2.7,,
1-комнатная квартира,17800000.0,2.0,42.0,10.0,,,2017,,совмещенный,
1-комнатная квартира,14500000.0,9.0,47.0,10.0,,,2017,,совмещенный,
1-комнатная квартира,9900000.0,9.0,28.0,10.0,,,2017,,,
1-комнатная квартира,15500000.0,1.0,47.0,10.0,Alma City,монолитный,2021,2.8,,
2-комнатная квартира,35800000.0,9.0,71.0,10.0,Alma City,,2019,,совмещенный,
1-комнатная квартира,12800000.0,4.0,29.0,10.0,,,2020,2.9,совмещенный,частично меблирована
1-комнатная квартира,14000000.0,7.0,44.09,7.0,Alma City,,2020,,,
2-комнатная квартира,16800000.0,1.0,43.0,3.0,Pioneer,монолитный,2020,,совмещенный,
1-комнатная квартира,18000000.0,2.0,28.0,6.0,Аскар Тау,монолитный,2015,2.8,совмещенный,частично меблирована
2-комнатная квартира,30000000.0,4.0,59.8,12.0,,,2020,2.7,,
1-комнатная квартира,14500000.0,7.0,47.0,10.0,,,2017,,совмещенный,
1-комнатная квартира,10300000.0,2.0,28.0,10.0,,,2017,,совмещенный,
1-комнатная квартира,17000000.0,3.0,44.3,9.0,Alma City,монолитный,2021,,,
3-комнатная квартира,31000000.0,8.0,76.1,9.0,,,2017,2.7,раздельный,полностью меблирована
2-комнатная квартира,16200000.0,8.0,44.0,10.0,,,2010,,совмещенный,полностью меблирована
1-комнатная квартира,16300000.0,7.0,37.8,16.0,Gulder,монолитный,2021,2.7,совмещенный,пустая
2-комнатная квартира,17000000.0,1.0,54.0,3.0,Pioneer,монолитный,2020,3.0,совмещенный,полностью меблирована
2-комнатная квартира,29000000.0,9.0,110.2,16.0,Премьера,монолитный,2012,2.8,совмещенный,частично меблирована
1-комнатная квартира,16400000.0,7.0,42.0,10.0,,,2016,,совмещенный,
1-комнатная квартира,9400000.0,8.0,31.38,10.0,Alma City,,2022,2.8,,
2-комнатная квартира,15300000.0,4.0,53.0,10.0,Alma City,монолитный,2022,2.8,,
1-комнатная квартира,16800000.0,9.0,44.0,10.0,,,2016,,совмещенный,
1-комнатная квартира,20500000.0,1.0,45.0,9.0,Шугыла-Сити,монолитный,2020,2.7,совмещенный,частично меблирована
3-комнатная квартира,84000000.0,4.0,144.0,4.0,Alatau Golf Residences,кирпичный,2020,3.2,2 с/у и более,частично меблирована
1-комнатная квартира,8999999.0,5.0,31.36,10.0,Alma City,монолитный,2022,2.7,совмещенный,пустая
1-комнатная квартира,18000000.0,1.0,43.5,6.0,,панельный,2014,3.0,совмещенный,полностью меблирована
1-комнатная квартира,16700000.0,6.0,44.0,9.0,,,2017,,совмещенный,частично меблирована
2-комнатная квартира,25000000.0,3.0,56.0,10.0,,,2017,,совмещенный,полностью меблирована
2-комнатная квартира,27500000.0,2.0,57.15,16.0,Gulder,монолитный,2021,2.7,совмещенный,
2-комнатная квартира,24500000.0,6.0,62.0,10.0,,,2017,,раздельный,частично меблирована
1-комнатная квартира,17500000.0,4.0,44.0,9.0,,,2017,,совмещенный,частично меблирована
2-комнатная квартира,23000000.0,9.0,60.0,10.0,,,2017,,совмещенный,частично меблирована
2-комнатная квартира,25000000.0,6.0,63.0,10.0,,,2017,,совмещенный,частично меблирована
3-комнатная квартира,29000000.0,5.0,88.0,10.0,,,2017,,раздельный,частично меблирована
