number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
2-комнатная квартира,27000000.0,9.0,54.0,12.0,,,1988.0,,совмещенный,частично меблирована
2-комнатная квартира,25200000.0,2.0,45.0,5.0,,,1973.0,,совмещенный,полностью меблирована
4-комнатная квартира,50000000.0,16.0,117.0,18.0,Алтын Булак 2,монолитный,2012.0,,2 с/у и более,полностью меблирована
2-комнатная квартира,25500000.0,1.0,48.0,3.0,,,1959.0,3.0,раздельный,пустая
4-комнатная квартира,51677850.0,,116.13,,LakeTown,,,2.7,2 с/у и более,
2-комнатная квартира,40000000.0,6.0,57.0,15.0,Евразия,монолитный,2016.0,,совмещенный,полностью меблирована
2-комнатная квартира,23000000.0,1.0,42.0,4.0,,,1970.0,,совмещенный,
2-комнатная квартира,26500000.0,5.0,52.0,7.0,,,,,,
1-комнатная квартира,17700000.0,4.0,34.0,5.0,,,1985.0,,,частично меблирована
3-комнатная квартира,56000000.0,12.0,140.0,13.0,Панорама,монолитный,2016.0,2.8,раздельный,пустая
2-комнатная квартира,27500000.0,9.0,70.0,10.0,Лотос,монолитный,2021.0,3.0,,пустая
3-комнатная квартира,52200000.0,9.0,135.0,10.0,Лотос,монолитный,2021.0,3.0,2 с/у и более,пустая
2-комнатная квартира,45000000.0,14.0,70.0,15.0,Arbat,монолитный,2019.0,3.3,раздельный,частично меблирована
2-комнатная квартира,19200000.0,1.0,42.0,4.0,,,1969.0,,совмещенный,частично меблирована
4-комнатная квартира,39000000.0,5.0,81.0,5.0,,,1981.0,,раздельный,
2-комнатная квартира,24408000.0,,56.5,,Nomad 2,,,2.7,раздельный,
1-комнатная квартира,17700000.0,4.0,34.0,5.0,,,1985.0,,совмещенный,
3-комнатная квартира,65999999.0,6.0,130.0,18.0,Жастар Mag,монолитный,2008.0,3.0,,полностью меблирована
2-комнатная квартира,29000000.0,1.0,49.4,3.0,,,1958.0,2.8,раздельный,пустая
3-комнатная квартира,60000000.0,2.0,70.0,12.0,LEGENDA,монолитный,2018.0,3.0,раздельный,полностью меблирована
3-комнатная квартира,77000000.0,3.0,130.0,18.0,Жастар Mag,монолитный,2007.0,3.0,2 с/у и более,
3-комнатная квартира,45000000.0,7.0,68.1,9.0,,,1990.0,2.75,раздельный,частично меблирована
1-комнатная квартира,18500000.0,3.0,41.0,5.0,,,1988.0,,,
2-комнатная квартира,28209600.0,,65.3,,Nomad 2,,,2.7,совмещенный,
2-комнатная квартира,36000000.0,3.0,53.0,5.0,,,1980.0,,совмещенный,частично меблирована
1-комнатная квартира,17300000.0,4.0,33.0,5.0,,,1981.0,,совмещенный,
1-комнатная квартира,19575000.0,3.0,32.7,4.0,,,1978.0,2.5,совмещенный,частично меблирована
3-комнатная квартира,36000000.0,4.0,66.0,9.0,,,1981.0,,раздельный,частично меблирована
3-комнатная квартира,48500000.0,8.0,78.2,9.0,,,1993.0,2.7,раздельный,частично меблирована
2-комнатная квартира,48800000.0,3.0,74.0,12.0,SIRIUS,монолитный,2021.0,3.0,совмещенный,полностью меблирована
2-комнатная квартира,52200000.0,2.0,88.0,2.0,Евразия,,2018.0,2.8,раздельный,
2-комнатная квартира,21500000.0,2.0,44.2,4.0,,,1969.0,,совмещенный,полностью меблирована
4-комнатная квартира,65000000.0,6.0,133.0,18.0,Манхеттан (29 квартал),монолитный,2010.0,3.0,,
2-комнатная квартира,24200000.0,1.0,54.0,5.0,,,1980.0,,раздельный,частично меблирована
1-комнатная квартира,16900000.0,1.0,31.0,4.0,,,1979.0,,совмещенный,частично меблирована
1-комнатная квартира,21800000.0,6.0,45.0,9.0,,,1980.0,2.9,совмещенный,
2-комнатная квартира,30900000.0,3.0,61.1,5.0,,,1988.0,2.85,раздельный,полностью меблирована
2-комнатная квартира,27000000.0,1.0,54.1,5.0,,,1980.0,2.79,раздельный,частично меблирована
2-комнатная квартира,30919680.0,,73.2,,Nomad 2,,,2.7,совмещенный,
1-комнатная квартира,18000000.0,2.0,30.0,12.0,Varlamova,монолитный,2017.0,3.0,раздельный,частично меблирована
1-комнатная квартира,15500000.0,12.0,30.0,14.0,Varlamova,монолитный,2017.0,3.0,,
3-комнатная квартира,30500000.0,3.0,70.0,5.0,,,1995.0,2.7,2 с/у и более,частично меблирована
2-комнатная квартира,36000000.0,3.0,53.6,4.0,,,1959.0,,совмещенный,полностью меблирована
3-комнатная квартира,21000000.0,5.0,59.0,5.0,,,1968.0,,совмещенный,
2-комнатная квартира,30500000.0,12.0,57.21,12.0,Palladium,монолитный,2021.0,2.75,,
1-комнатная квартира,27500000.0,11.0,44.0,12.0,Palladium,монолитный,2021.0,,,
3-комнатная квартира,32000000.0,9.0,70.0,9.0,,,1987.0,2.8,совмещенный,частично меблирована
2-комнатная квартира,20700000.0,2.0,44.0,5.0,,,1977.0,,совмещенный,полностью меблирована
2-комнатная квартира,33000000.0,14.0,70.0,18.0,Алтын Булак 1,панельный,2011.0,2.7,совмещенный,полностью меблирована
3-комнатная квартира,31342080.0,,74.2,,Nomad 2,,,2.7,раздельный,
1-комнатная квартира,8000000.0,2.0,20.0,2.0,,,1958.0,2.5,раздельный,
2-комнатная квартира,34000000.0,4.0,55.0,4.0,,,1974.0,,совмещенный,частично меблирована
1-комнатная квартира,22000000.0,1.0,31.0,5.0,,,1985.0,,совмещенный,полностью меблирована
3-комнатная квартира,56000000.0,9.0,128.0,9.0,Береке,,2011.0,3.0,2 с/у и более,частично меблирована
2-комнатная квартира,29000000.0,3.0,76.0,18.0,Алтын Булак 1,монолитный,2011.0,,совмещенный,
3-комнатная квартира,34500000.0,5.0,84.5,5.0,,,1988.0,,раздельный,частично меблирована
3-комнатная квартира,23000000.0,4.0,60.0,4.0,,,1972.0,,раздельный,частично меблирована
2-комнатная квартира,28500000.0,9.0,51.0,13.0,Atlant,монолитный,2020.0,,совмещенный,пустая
4-комнатная квартира,42200000.0,5.0,85.4,5.0,,,1992.0,,2 с/у и более,частично меблирована
3-комнатная квартира,31500000.0,1.0,80.0,20.0,,,2017.0,,совмещенный,
1-комнатная квартира,9200000.0,3.0,26.0,5.0,,,1974.0,2.7,,полностью меблирована
3-комнатная квартира,38700000.0,1.0,73.5,4.0,,,1967.0,2.7,совмещенный,частично меблирована
3-комнатная квартира,35608320.0,,84.3,,Nomad 2,,,2.7,совмещенный,
2-комнатная квартира,19400000.0,1.0,35.9,5.0,,,1973.0,,совмещенный,частично меблирована
1-комнатная квартира,15500000.0,4.0,32.0,4.0,,,1981.0,,совмещенный,полностью меблирована
