number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1-комнатная квартира,24000000.0,2.0,33.1,5.0,,,1987.0,2.8,совмещенный,частично меблирована
3-комнатная квартира,89533187.0,,143.8,,Exclusive Time,,2021.0,3.0,2 с/у и более,
4-комнатная квартира,105370020.0,,131.31,,Koktobe city,,2023.0,3.0,2 с/у и более,
4-комнатная квартира,71000000.0,21.0,161.5,21.0,Samal Tower,монолитный,2016.0,3.2,2 с/у и более,
2-комнатная квартира,26500000.0,4.0,44.9,4.0,,,1970.0,,совмещенный,полностью меблирована
4-комнатная квартира,32500000.0,5.0,78.0,5.0,,,1978.0,2.8,раздельный,полностью меблирована
3-комнатная квартира,91097609.0,,143.7,,Exclusive Time,,2021.0,3.0,2 с/у и более,
3-комнатная квартира,75000000.0,1.0,125.0,8.0,Европолис,,2016.0,3.4,2 с/у и более,полностью меблирована
4-комнатная квартира,122984120.0,,147.64,,Koktobe city,,2023.0,3.0,совмещенный,
2-комнатная квартира,60866500.0,,70.3,,La Verde,,2022.0,3.0,2 с/у и более,
5-комнатная квартира,253000000.0,,316.25,,Esentai City,,2018.0,3.25,2 с/у и более,
2-комнатная квартира,45000000.0,3.0,71.2,9.0,,,1977.0,,раздельный,
1-комнатная квартира,34000000.0,2.0,43.0,17.0,Central Avenue,,2022.0,3.0,,
2-комнатная квартира,40000000.0,2.0,50.0,4.0,,,1958.0,3.0,раздельный,полностью меблирована
3-комнатная квартира,93472686.0,,143.6,,Exclusive Time,,2021.0,3.0,2 с/у и более,
7-комнатная квартира,215184165.0,,256.89,,Koktobe city,,2023.0,3.0,2 с/у и более,
4-комнатная квартира,150000000.0,2.0,195.0,9.0,Базис на Зенкова 33,монолитный,2000.0,3.0,2 с/у и более,
3-комнатная квартира,38500000.0,5.0,75.0,8.0,,,1975.0,2.8,совмещенный,частично меблирована
1-комнатная квартира,21000000.0,2.0,40.0,12.0,,,2016.0,,,
2-комнатная квартира,56652345.0,,94.6,,Exclusive Time,,2021.0,3.0,совмещенный,
1-комнатная квартира,23760165.0,,34.45,,Koktobe city,,2023.0,3.0,совмещенный,
2-комнатная квартира,61683500.0,,73.0,,La Verde,,2022.0,3.0,2 с/у и более,
3-комнатная квартира,96800000.0,,121.0,,Esentai City,,2018.0,3.25,,
4-комнатная квартира,80000000.0,2.0,130.0,10.0,,,1975.0,,2 с/у и более,полностью меблирована
6-комнатная квартира,384000000.0,,360.0,,Эдельвейс (КГ),монолитный,2008.0,3.0,2 с/у и более,частично меблирована
7-комнатная квартира,365000000.0,,315.0,,Эдельвейс (КГ),монолитный,2010.0,3.0,2 с/у и более,полностью меблирована
2-комнатная квартира,58962396.0,,94.7,,Exclusive Time,,2021.0,3.0,совмещенный,
4-комнатная квартира,86898500.0,,133.69,,Gorny Hills,,2021.0,3.0,2 с/у и более,
1-комнатная квартира,30526122.0,,44.26,,Koktobe city,,2023.0,3.0,совмещенный,
2-комнатная квартира,40000000.0,2.0,51.5,5.0,,,1968.0,,совмещенный,
1-комнатная квартира,39500000.0,15.0,52.0,22.0,Алматы Тауэрс,,2008.0,3.0,совмещенный,
2-комнатная квартира,60000000.0,4.0,83.2,6.0,Koktobe city,монолитный,2014.0,2.88,совмещенный,частично меблирована
3-комнатная квартира,58200000.0,4.0,92.8,5.0,,,1968.0,2.8,совмещенный,частично меблирована
6-комнатная квартира,50000000.0,5.0,135.0,6.0,,,2006.0,,2 с/у и более,частично меблирована
2-комнатная квартира,48493980.0,,65.71,,Koktobe city,,2023.0,3.0,2 с/у и более,
2-комнатная квартира,68000300.0,,81.0,,La Verde,,2022.0,3.0,2 с/у и более,
3-комнатная квартира,102400000.0,,128.0,,Esentai City,,2018.0,3.25,,
5-комнатная квартира,130000000.0,4.0,160.0,9.0,Royal,монолитный,2017.0,3.0,2 с/у и более,
2-комнатная квартира,49830825.0,,72.25,,Koktobe city,,2023.0,3.0,2 с/у и более,
3-комнатная квартира,46000000.0,5.0,71.0,9.0,,,1991.0,,раздельный,полностью меблирована
3-комнатная квартира,42000000.0,11.0,72.0,12.0,,,1991.0,2.8,раздельный,
6-комнатная квартира,180000000.0,1.0,265.0,7.0,Dostyk Residence,монолитный,2017.0,3.15,2 с/у и более,
2-комнатная квартира,59576437.0,,81.02,,Koktobe city,,2023.0,3.0,2 с/у и более,
3-комнатная квартира,77600000.0,,91.6,,La Verde,,2022.0,3.0,2 с/у и более,
3-комнатная квартира,104550000.0,2.0,123.0,3.0,Esentai City,,2018.0,3.25,2 с/у и более,
7-комнатная квартира,222528000.0,4.0,366.0,4.0,ЖанЕл (КГ),кирпичный,2013.0,3.2,,
6-комнатная квартира,222528000.0,4.0,366.0,4.0,ЖанЕл (КГ),кирпичный,2013.0,3.2,2 с/у и более,пустая
2-комнатная квартира,61968746.0,,80.26,,Koktobe city,,2023.0,3.0,2 с/у и более,
4-комнатная квартира,66400000.0,2.0,125.0,10.0,Восточный Парк,монолитный,2017.0,3.0,раздельный,
3-комнатная квартира,46000000.0,3.0,75.0,5.0,,,1980.0,,раздельный,частично меблирована
2-комнатная квартира,57000000.0,1.0,89.8,7.0,Тау Шатыр,монолитный,2008.0,3.7,совмещенный,полностью меблирована
3-комнатная квартира,59999000.0,11.0,85.0,12.0,Медеу Парк,,2020.0,3.0,раздельный,полностью меблирована
3-комнатная квартира,65964000.0,,95.6,,Koktobe city,,2021.0,3.0,2 с/у и более,
4-комнатная квартира,98923500.0,,152.19,,Gorny Hills,,2021.0,3.0,2 с/у и более,
3-комнатная квартира,90250000.0,,100.0,,La Verde,,2022.0,3.0,2 с/у и более,
4-комнатная квартира,116000000.0,,145.0,,Esentai City,,2018.0,3.25,2 с/у и более,
4-комнатная квартира,50500000.0,3.0,79.0,6.0,,кирпичный,1976.0,2.8,раздельный,полностью меблирована
2-комнатная квартира,26000000.0,2.0,44.0,5.0,,,1974.0,,,
3-комнатная квартира,77000000.0,1.0,120.0,7.0,Ренессанс,монолитный,2007.0,,2 с/у и более,полностью меблирована
2-комнатная квартира,35000000.0,9.0,55.4,9.0,,,1986.0,2.7,раздельный,
3-комнатная квартира,67044000.0,,90.6,,Koktobe city,,2021.0,3.0,2 с/у и более,
2-комнатная квартира,29000000.0,5.0,88.1,5.0,,,2010.0,2.7,2 с/у и более,частично меблирована
2-комнатная квартира,14500000.0,4.0,44.3,4.0,,,1971.0,,совмещенный,частично меблирована
3-комнатная квартира,68103000.0,,98.7,,Koktobe city,,2021.0,3.0,2 с/у и более,
3-комнатная квартира,90700000.0,,101.3,,La Verde,,2022.0,3.0,2 с/у и более,
3-комнатная квартира,129330000.0,,143.7,,Esentai City,,2018.0,3.25,2 с/у и более,
3-комнатная квартира,40500000.0,5.0,68.3,5.0,,,1989.0,,раздельный,полностью меблирована
3-комнатная квартира,65000000.0,2.0,107.0,8.0,Европолис,,2013.0,3.2,совмещенный,частично меблирована
3-комнатная квартира,24500000.0,5.0,63.0,5.0,,,1973.0,,совмещенный,полностью меблирована
2-комнатная квартира,51000000.0,3.0,66.0,5.0,,,1972.0,,раздельный,
3-комнатная квартира,70434420.0,,100.12,,Koktobe city,,2023.0,3.0,2 с/у и более,
2-комнатная квартира,122000000.0,4.0,126.0,9.0,,,2010.0,,,
2-комнатная квартира,26000000.0,5.0,50.0,5.0,,,1977.0,,раздельный,частично меблирована
2-комнатная квартира,65000000.0,14.0,84.0,21.0,Самал Делюкс,кирпичный,2008.0,3.0,совмещенный,
3-комнатная квартира,23999999.0,2.0,60.0,5.0,,,1970.0,,раздельный,полностью меблирована
3-комнатная квартира,70711200.0,,96.6,,Koktobe city,,2021.0,3.0,2 с/у и более,
2-комнатная квартира,122000000.0,4.0,126.0,9.0,Академия-2,монолитный,2010.0,,2 с/у и более,частично меблирована
3-комнатная квартира,43500000.0,3.0,68.0,9.0,,,1992.0,2.7,раздельный,полностью меблирована
1-комнатная квартира,18800000.0,5.0,35.0,5.0,,,1988.0,,,
3-комнатная квартира,45500000.0,8.0,84.4,9.0,,,1990.0,2.7,2 с/у и более,полностью меблирована
