number_of_rooms,Price,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3-комнатная квартира,26000000.0,1.0,70.0,12.0,Alatau City,монолитный,2017.0,,совмещенный,частично меблирована
1-комнатная квартира,13900000.0,2.0,39.0,5.0,,,2015.0,,совмещенный,частично меблирована
1-комнатная квартира,19500000.0,3.0,46.0,9.0,,,2010.0,2.7,,
2-комнатная квартира,22500000.0,5.0,65.0,5.0,ЖК в мкр. Саялы,монолитный,2016.0,2.7,раздельный,частично меблирована
2-комнатная квартира,21500000.0,1.0,67.0,5.0,,,2016.0,2.8,раздельный,частично меблирована
2-комнатная квартира,27000000.0,3.0,55.8,9.0,На Бокеева,,2018.0,2.6,совмещенный,частично меблирована
2-комнатная квартира,23500000.0,3.0,55.0,12.0,Alatau City,монолитный,2018.0,,,
2-комнатная квартира,24500000.0,9.0,61.0,9.0,,,2015.0,2.8,раздельный,частично меблирована
2-комнатная квартира,15900000.0,10.0,70.0,10.0,Аккент,монолитный,2011.0,,совмещенный,частично меблирована
2-комнатная квартира,15500000.0,1.0,38.0,2.0,,,1972.0,2.5,совмещенный,частично меблирована
1-комнатная квартира,11600000.0,3.0,31.1,4.0,,,2018.0,2.8,совмещенный,пустая
2-комнатная квартира,26500000.0,7.0,54.0,14.0,Алмалы,монолитный,2019.0,2.7,2 с/у и более,частично меблирована
1-комнатная квартира,16900000.0,4.0,42.3,7.0,Северное кольцо,монолитный,2016.0,,совмещенный,частично меблирована
1-комнатная квартира,13500000.0,3.0,39.0,9.0,,,2015.0,,совмещенный,частично меблирована
2-комнатная квартира,21000000.0,5.0,67.0,5.0,,,2018.0,2.7,раздельный,
2-комнатная квартира,25100000.0,5.0,66.0,9.0,,,2014.0,2.7,раздельный,
2-комнатная квартира,25000000.0,5.0,60.0,12.0,Алмалы,монолитный,2018.0,2.8,совмещенный,частично меблирована
2-комнатная квартира,25000000.0,4.0,64.7,6.0,Северное кольцо,,2014.0,,совмещенный,полностью меблирована
1-комнатная квартира,17500000.0,8.0,37.0,12.0,Алмалы,монолитный,2018.0,2.8,совмещенный,полностью меблирована
1-комнатная квартира,14700000.0,12.0,37.0,14.0,Алмалы,монолитный,2017.0,2.7,совмещенный,частично меблирована
1-комнатная квартира,16500000.0,3.0,40.09,8.0,,,2015.0,2.8,совмещенный,полностью меблирована
2-комнатная квартира,27000000.0,12.0,58.0,12.0,Алмалы,монолитный,2018.0,,,
2-комнатная квартира,26500000.0,3.0,67.0,9.0,Аккент,монолитный,2012.0,,2 с/у и более,частично меблирована
1-комнатная квартира,18000000.0,5.0,39.0,9.0,,,2015.0,,совмещенный,частично меблирована
1-комнатная квартира,13500500.0,4.0,40.3,6.0,,,2022.0,2.7,,пустая
2-комнатная квартира,23000000.0,9.0,66.0,10.0,Нуркент,монолитный,2013.0,3.0,раздельный,частично меблирована
1-комнатная квартира,17700000.0,8.0,40.9,8.0,Нуркент,монолитный,2015.0,2.8,совмещенный,частично меблирована
3-комнатная квартира,27000000.0,7.0,84.0,9.0,Аккент,монолитный,2011.0,2.8,2 с/у и более,
2-комнатная квартира,18900000.0,9.0,45.0,12.0,Alatau City,монолитный,2018.0,2.7,совмещенный,частично меблирована
2-комнатная квартира,25500000.0,6.0,56.0,14.0,Алмалы,монолитный,2017.0,2.8,совмещенный,
