index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3037,2-комнатная квартира,7.0,67.0,21.0,Каусар,монолитный,2012.0,-999.0,совмещенный,полностью меблирована
168,1-комнатная квартира,1.0,39.0,3.0,MISSING,MISSING,1964.0,-999.0,совмещенный,MISSING
614,1-комнатная квартира,4.0,33.0,5.0,MISSING,MISSING,1982.0,-999.0,совмещенный,частично меблирована
402,2-комнатная квартира,5.0,43.0,5.0,MISSING,MISSING,1979.0,2.8,совмещенный,полностью меблирована
3948,2-комнатная квартира,4.0,70.0,17.0,Алтын Булак 1,монолитный,2011.0,-999.0,MISSING,MISSING
103,2-комнатная квартира,-999.0,73.2,-999.0,Nomad 2,MISSING,-999.0,2.7,совмещенный,MISSING
4833,2-комнатная квартира,1.0,46.0,3.0,MISSING,MISSING,1969.0,3.0,совмещенный,частично меблирована
2495,1-комнатная квартира,2.0,40.5,9.0,MISSING,MISSING,1984.0,-999.0,совмещенный,MISSING
5352,4-комнатная квартира,6.0,90.0,8.0,MISSING,MISSING,1972.0,-999.0,раздельный,полностью меблирована
3794,2-комнатная квартира,1.0,60.0,5.0,MISSING,MISSING,1972.0,-999.0,совмещенный,полностью меблирована
1585,2-комнатная квартира,1.0,40.0,5.0,MISSING,MISSING,1978.0,-999.0,совмещенный,частично меблирована
1621,3-комнатная квартира,3.0,65.0,9.0,MISSING,MISSING,1981.0,-999.0,раздельный,частично меблирована
668,1-комнатная квартира,3.0,30.0,12.0,Алтын Булак 2,монолитный,2012.0,2.8,MISSING,MISSING
4331,1-комнатная квартира,1.0,32.0,5.0,MISSING,MISSING,1977.0,-999.0,совмещенный,полностью меблирована
543,3-комнатная квартира,2.0,59.8,5.0,MISSING,MISSING,1974.0,-999.0,совмещенный,частично меблирована
1077,3-комнатная квартира,4.0,87.0,7.0,MISSING,MISSING,1977.0,-999.0,совмещенный,частично меблирована
1724,2-комнатная квартира,2.0,69.0,9.0,MISSING,MISSING,1984.0,2.7,2 с/у и более,MISSING
2675,3-комнатная квартира,7.0,65.0,9.0,MISSING,MISSING,1993.0,2.8,раздельный,частично меблирована
3643,1-комнатная квартира,3.0,32.0,5.0,MISSING,MISSING,1975.0,2.7,совмещенный,MISSING
4811,7-комнатная квартира,5.0,350.0,6.0,Изумрудный город,кирпичный,2006.0,-999.0,2 с/у и более,частично меблирована
3766,1-комнатная квартира,8.0,39.0,12.0,MISSING,MISSING,2008.0,-999.0,совмещенный,частично меблирована
1205,3-комнатная квартира,9.0,68.0,9.0,MISSING,MISSING,1980.0,-999.0,MISSING,MISSING
490,3-комнатная квартира,3.0,90.8,5.0,MISSING,MISSING,1977.0,-999.0,раздельный,частично меблирована
4890,5-комнатная квартира,6.0,171.0,10.0,MISSING,MISSING,1997.0,-999.0,2 с/у и более,полностью меблирована
1553,4-комнатная квартира,4.0,76.4,5.0,MISSING,MISSING,1983.0,-999.0,MISSING,MISSING
4897,3-комнатная квартира,4.0,95.0,10.0,Центральный,монолитный,2018.0,-999.0,2 с/у и более,полностью меблирована
885,2-комнатная квартира,1.0,46.0,4.0,MISSING,MISSING,1985.0,3.2,совмещенный,MISSING
370,3-комнатная квартира,13.0,128.6,18.0,Жастар Mag,монолитный,2007.0,-999.0,2 с/у и более,MISSING
4978,2-комнатная квартира,2.0,51.0,3.0,MISSING,MISSING,1950.0,3.0,совмещенный,полностью меблирована
1407,2-комнатная квартира,3.0,42.0,5.0,MISSING,MISSING,1973.0,2.7,совмещенный,MISSING
4180,3-комнатная квартира,3.0,58.0,4.0,MISSING,MISSING,1971.0,-999.0,раздельный,частично меблирована
5758,3-комнатная квартира,8.0,73.0,9.0,MISSING,MISSING,1989.0,2.8,раздельный,MISSING
1946,3-комнатная квартира,3.0,80.0,4.0,MISSING,MISSING,-999.0,2.8,раздельный,полностью меблирована
1590,2-комнатная квартира,2.0,50.0,5.0,MISSING,MISSING,1986.0,2.6,совмещенный,частично меблирована
3849,2-комнатная квартира,1.0,43.0,4.0,MISSING,MISSING,1970.0,-999.0,совмещенный,MISSING
