index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
1694,3-комнатная квартира,8.0,98.0,13.0,12 месяцев,монолитный,2017.0,2.8,MISSING,MISSING,36143044.0,33500000.0
1769,1-комнатная квартира,3.0,33.0,4.0,MISSING,MISSING,1970.0,-999.0,совмещенный,частично меблирована,17376006.0,17200000.0
43,3-комнатная квартира,7.0,76.8,17.0,Assem Plaza,монолитный,2021.0,3.0,MISSING,MISSING,47610828.0,35712000.0
4269,3-комнатная квартира,4.0,66.0,5.0,MISSING,MISSING,1989.0,2.8,раздельный,полностью меблирована,34349988.0,33500000.0
5651,3-комнатная квартира,6.0,96.3,18.0,Алтын Булак 1,монолитный,2011.0,2.8,раздельный,частично меблирована,43429264.0,48990000.0
4956,2-комнатная квартира,5.0,54.0,5.0,MISSING,MISSING,1984.0,2.7,раздельный,частично меблирована,25761548.0,25000000.0
5228,2-комнатная квартира,5.0,60.0,5.0,MISSING,MISSING,1985.0,-999.0,раздельный,MISSING,26401842.0,30500000.0
2426,2-комнатная квартира,5.0,43.0,5.0,MISSING,MISSING,1978.0,-999.0,совмещенный,частично меблирована,19927762.0,20500000.0
4125,2-комнатная квартира,9.0,76.3,17.0,Шанырак,монолитный,2015.0,3.0,раздельный,частично меблирована,43189876.0,48500000.0
2731,2-комнатная квартира,18.0,91.0,20.0,Манхеттан (29 квартал),монолитный,2009.0,3.0,совмещенный,полностью меблирована,43504304.0,35000000.0
4207,2-комнатная квартира,3.0,42.0,5.0,MISSING,MISSING,1977.0,-999.0,совмещенный,MISSING,22147530.0,21500000.0
3415,3-комнатная квартира,9.0,70.0,9.0,MISSING,MISSING,1988.0,2.85,раздельный,частично меблирована,32961830.0,32800000.0
2122,1-комнатная квартира,5.0,40.0,10.0,Мечта на Казыбек би,монолитный,2015.0,2.8,MISSING,MISSING,20268920.0,19800000.0
3109,2-комнатная квартира,-999.0,56.0,-999.0,Каусар,монолитный,2014.0,-999.0,совмещенный,частично меблирована,25405454.0,26500000.0
2481,2-комнатная квартира,12.0,130.0,16.0,Театральный,монолитный,2009.0,2.9,2 с/у и более,частично меблирована,71907870.0,60000000.0
3322,2-комнатная квартира,2.0,50.0,5.0,MISSING,MISSING,1992.0,-999.0,раздельный,частично меблирована,27565670.0,27000000.0
1942,2-комнатная квартира,5.0,54.0,8.0,MISSING,MISSING,1978.0,-999.0,раздельный,частично меблирована,30914650.0,28000000.0
3553,2-комнатная квартира,3.0,39.0,4.0,MISSING,MISSING,1981.0,-999.0,совмещенный,частично меблирована,18980666.0,9000000.0
3203,3-комнатная квартира,3.0,75.0,4.0,MISSING,MISSING,1960.0,-999.0,совмещенный,полностью меблирована,43858976.0,49999000.0
4223,2-комнатная квартира,2.0,53.3,5.0,MISSING,MISSING,1994.0,2.7,раздельный,пустая,29075748.0,24000000.0
1485,3-комнатная квартира,2.0,94.0,13.0,12 месяцев,MISSING,2021.0,2.8,2 с/у и более,MISSING,43544816.0,32500000.0
466,1-комнатная квартира,1.0,32.8,5.0,MISSING,MISSING,1978.0,-999.0,MISSING,MISSING,19244894.0,19000000.0
5232,1-комнатная квартира,1.0,40.5,9.0,MISSING,MISSING,2000.0,2.8,MISSING,MISSING,17716344.0,24000000.0
1351,1-комнатная квартира,4.0,41.0,9.0,MISSING,MISSING,1990.0,-999.0,совмещенный,частично меблирована,21615912.0,22000000.0
4800,3-комнатная квартира,2.0,58.4,2.0,MISSING,MISSING,1957.0,2.7,совмещенный,MISSING,24486034.0,20000000.0
5062,3-комнатная квартира,1.0,63.0,4.0,MISSING,панельный,1971.0,2.7,MISSING,MISSING,27261488.0,28000000.0
1678,1-комнатная квартира,7.0,20.0,9.0,Мечта на Казыбек би,монолитный,2014.0,2.6,совмещенный,полностью меблирована,14064950.0,14000000.0
1634,3-комнатная квартира,3.0,60.0,5.0,MISSING,MISSING,1977.0,2.6,раздельный,полностью меблирована,29166146.0,31000000.0
474,3-комнатная квартира,18.0,86.0,18.0,Алтын Булак 2,монолитный,2012.0,2.8,2 с/у и более,полностью меблирована,37688276.0,43000000.0
3930,2-комнатная квартира,5.0,50.0,6.0,MISSING,MISSING,1985.0,2.8,совмещенный,частично меблирована,27119772.0,22000000.0
1382,2-комнатная квартира,2.0,44.0,5.0,MISSING,MISSING,1976.0,-999.0,совмещенный,частично меблирована,22227750.0,26000000.0
3760,2-комнатная квартира,5.0,42.3,5.0,MISSING,MISSING,1975.0,-999.0,совмещенный,полностью меблирована,22851182.0,21000000.0
967,3-комнатная квартира,5.0,60.0,5.0,MISSING,MISSING,1978.0,-999.0,раздельный,частично меблирована,24303804.0,23000000.0
242,5-комнатная квартира,17.0,144.0,21.0,Каусар,монолитный,2012.0,2.9,2 с/у и более,частично меблирована,62342260.0,57000000.0
1493,2-комнатная квартира,8.0,91.0,18.0,Манхеттан (29 квартал),монолитный,2011.0,3.0,2 с/у и более,MISSING,43711660.0,43000000.0
3988,1-комнатная квартира,1.0,31.0,5.0,MISSING,MISSING,1977.0,-999.0,совмещенный,MISSING,17636432.0,16100000.0
3116,1-комнатная квартира,2.0,40.0,5.0,MISSING,панельный,1988.0,2.8,раздельный,MISSING,20237724.0,27600000.0
2569,2-комнатная квартира,4.0,50.0,4.0,MISSING,MISSING,1980.0,-999.0,раздельный,частично меблирована,24528664.0,29000000.0
3461,2-комнатная квартира,2.0,73.0,11.0,Престиж Алатау,монолитный,2018.0,3.0,2 с/у и более,частично меблирована,52314000.0,57000000.0
335,2-комнатная квартира,18.0,91.0,20.0,Манхеттан (29 квартал),монолитный,2009.0,3.1,совмещенный,полностью меблирована,49415100.0,35000000.0
2938,1-комнатная квартира,5.0,20.0,5.0,MISSING,MISSING,1980.0,-999.0,совмещенный,MISSING,7939164.5,8000000.0
