index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
378,1-комнатная квартира,9.0,60.0,14.0,Central Park Residence,монолитный,2014.0,3.0,совмещенный,частично меблирована
2729,2-комнатная квартира,4.0,81.8,5.0,MISSING,кирпичный,1973.0,MISSING,совмещенный,полностью меблирована
2000,3-комнатная квартира,5.0,85.0,5.0,MISSING,MISSING,1976.0,MISSING,раздельный,полностью меблирована
2174,2-комнатная квартира,6.0,62.0,9.0,Vostochka.kz,монолитный,2020.0,2.7,совмещенный,пустая
3142,3-комнатная квартира,11.0,73.0,13.0,Восточный Парк,монолитный,2017.0,3.0,раздельный,частично меблирована
2058,2-комнатная квартира,3.0,67.0,3.0,MISSING,MISSING,-999.0,MISSING,MISSING,MISSING
3719,2-комнатная квартира,3.0,46.5,12.0,Медеу Парк,монолитный,2020.0,3.0,совмещенный,частично меблирована
1531,2-комнатная квартира,2.0,65.0,3.0,MISSING,MISSING,1954.0,3.0,раздельный,частично меблирована
4119,5-комнатная квартира,3.0,140.0,5.0,MISSING,MISSING,1979.0,2.7,2 с/у и более,полностью меблирована
2900,4-комнатная квартира,11.0,112.1,11.0,Восточный Парк,монолитный,2018.0,4.0,MISSING,MISSING
3690,8-комнатная квартира,-999.0,360.0,-999.0,Esentai City,монолитный,2018.0,MISSING,2 с/у и более,MISSING
1928,1-комнатная квартира,4.0,41.3,10.0,MISSING,MISSING,2017.0,2.7,совмещенный,полностью меблирована
3647,2-комнатная квартира,7.0,85.0,13.0,NS – Tau,монолитный,2015.0,2.7,2 с/у и более,MISSING
3263,2-комнатная квартира,5.0,62.0,5.0,MISSING,MISSING,1976.0,MISSING,MISSING,MISSING
2833,3-комнатная квартира,2.0,59.0,5.0,MISSING,MISSING,1974.0,2.65,раздельный,частично меблирована
2678,3-комнатная квартира,4.0,56.0,4.0,MISSING,MISSING,1974.0,MISSING,раздельный,MISSING
2054,2-комнатная квартира,2.0,99.6,7.0,ile de France,монолитный,2017.0,3.3,совмещенный,частично меблирована
897,3-комнатная квартира,1.0,85.5,3.0,Alatau Hills,монолитный,2018.0,3.15,MISSING,MISSING
487,4-комнатная квартира,2.0,220.0,4.0,Арман Вилла,MISSING,2009.0,MISSING,MISSING,MISSING
254,3-комнатная квартира,5.0,87.0,9.0,MISSING,MISSING,2017.0,MISSING,MISSING,MISSING
1623,2-комнатная квартира,3.0,45.0,4.0,MISSING,MISSING,1978.0,2.3,раздельный,частично меблирована
2190,4-комнатная квартира,2.0,125.0,12.0,Восточный Парк,монолитный,2018.0,2.8,совмещенный,MISSING
1585,3-комнатная квартира,7.0,135.0,12.0,Falconcity,монолитный,2017.0,MISSING,MISSING,MISSING
3931,3-комнатная квартира,5.0,115.0,22.0,Самал Делюкс,монолитный,2009.0,3.0,совмещенный,полностью меблирована
4049,3-комнатная квартира,3.0,117.0,8.0,MISSING,MISSING,-999.0,MISSING,2 с/у и более,MISSING
3097,1-комнатная квартира,2.0,17.0,5.0,MISSING,MISSING,1985.0,MISSING,совмещенный,пустая
2667,2-комнатная квартира,2.0,67.0,7.0,MISSING,MISSING,2021.0,2.8,MISSING,MISSING
1505,2-комнатная квартира,9.0,55.0,9.0,MISSING,MISSING,2021.0,2.8,MISSING,MISSING
2455,1-комнатная квартира,5.0,38.0,5.0,MISSING,MISSING,1992.0,MISSING,совмещенный,MISSING
547,4-комнатная квартира,1.0,90.0,5.0,MISSING,MISSING,1990.0,MISSING,раздельный,MISSING
1264,3-комнатная квартира,2.0,70.0,2.0,MISSING,MISSING,-999.0,2.7,раздельный,частично меблирована
2024,3-комнатная квартира,1.0,120.0,7.0,Ак Бота,монолитный,2009.0,3.0,2 с/у и более,частично меблирована
3243,1-комнатная квартира,2.0,33.0,4.0,MISSING,MISSING,1972.0,2.8,совмещенный,полностью меблирована
1913,4-комнатная квартира,5.0,190.0,10.0,КУАT на Достык - Сатпаева,монолитный,2002.0,3.0,2 с/у и более,частично меблирована
648,4-комнатная квартира,6.0,160.0,9.0,Royal,монолитный,2015.0,MISSING,2 с/у и более,частично меблирована
2091,5-комнатная квартира,2.0,225.0,9.0,Элит-1 на Зенкова,монолитный,2006.0,MISSING,2 с/у и более,MISSING
706,3-комнатная квартира,3.0,100.0,7.0,ile de France,монолитный,2015.0,3.3,2 с/у и более,MISSING
2492,1-комнатная квартира,7.0,40.0,9.0,MISSING,MISSING,2020.0,2.7,MISSING,MISSING
3374,4-комнатная квартира,1.0,231.0,4.0,Эйвон,MISSING,2010.0,MISSING,2 с/у и более,MISSING
4024,2-комнатная квартира,2.0,100.0,6.0,Bloom House,монолитный,2016.0,3.0,MISSING,MISSING
80,3-комнатная квартира,5.0,75.0,8.0,MISSING,MISSING,1975.0,2.8,совмещенный,частично меблирована
3037,3-комнатная квартира,1.0,65.0,5.0,MISSING,MISSING,2017.0,2.8,совмещенный,частично меблирована
1762,4-комнатная квартира,4.0,338.1,6.0,Нур Тобе,MISSING,2012.0,3.0,2 с/у и более,пустая
3711,2-комнатная квартира,10.0,47.0,12.0,Медеу Парк,монолитный,2020.0,MISSING,совмещенный,MISSING
3346,2-комнатная квартира,1.0,54.0,9.0,MISSING,MISSING,1996.0,2.8,раздельный,полностью меблирована
2007,3-комнатная квартира,5.0,85.0,5.0,MISSING,MISSING,1976.0,MISSING,раздельный,частично меблирована
372,2-комнатная квартира,6.0,81.0,7.0,ile de France,монолитный,2015.0,3.3,раздельный,MISSING
1612,3-комнатная квартира,2.0,85.0,5.0,MISSING,MISSING,1970.0,MISSING,раздельный,частично меблирована
2316,5-комнатная квартира,3.0,255.0,8.0,Академия на Жамбыла 26,монолитный,2002.0,3.0,2 с/у и более,частично меблирована
221,2-комнатная квартира,2.0,50.0,4.0,MISSING,MISSING,-999.0,2.7,совмещенный,полностью меблирована
501,3-комнатная квартира,2.0,90.0,12.0,Медеу Парк,монолитный,2017.0,3.0,MISSING,MISSING
118,4-комнатная квартира,-999.0,145.0,-999.0,Esentai City,MISSING,2018.0,3.25,2 с/у и более,MISSING
2496,7-комнатная квартира,1.0,300.0,7.0,Dostyk Residence,монолитный,2016.0,3.3,2 с/у и более,полностью меблирована
3468,2-комнатная квартира,7.0,56.0,9.0,MISSING,MISSING,1978.0,2.8,раздельный,частично меблирована
3920,2-комнатная квартира,-999.0,58.0,-999.0,MISSING,MISSING,1987.0,MISSING,MISSING,MISSING
104,6-комнатная квартира,1.0,265.0,7.0,Dostyk Residence,монолитный,2017.0,3.15,2 с/у и более,MISSING
2650,2-комнатная квартира,4.0,45.0,4.0,MISSING,MISSING,1970.0,2.8,совмещенный,MISSING
243,2-комнатная квартира,8.0,86.4,10.0,Ush Qońyr,монолитный,2021.0,2.75,MISSING,MISSING
3490,4-комнатная квартира,8.0,155.0,9.0,Салем,монолитный,2014.0,MISSING,2 с/у и более,MISSING
741,3-комнатная квартира,4.0,84.0,5.0,MISSING,MISSING,1972.0,2.7,раздельный,частично меблирована
2387,2-комнатная квартира,3.0,80.0,5.0,MISSING,MISSING,1986.0,MISSING,раздельный,MISSING
3701,3-комнатная квартира,4.0,55.0,4.0,MISSING,MISSING,1969.0,2.5,совмещенный,полностью меблирована
885,5-комнатная квартира,5.0,214.0,15.0,Самал Делюкс,монолитный,2010.0,MISSING,2 с/у и более,MISSING
507,3-комнатная квартира,4.0,72.0,4.0,MISSING,MISSING,1960.0,2.75,раздельный,MISSING
1306,3-комнатная квартира,4.0,67.0,5.0,MISSING,MISSING,1974.0,2.65,раздельный,MISSING
1540,3-комнатная квартира,5.0,125.0,13.0,Аэлита,монолитный,2007.0,3.0,2 с/у и более,частично меблирована
2891,4-комнатная квартира,2.0,88.0,4.0,MISSING,MISSING,1972.0,MISSING,совмещенный,частично меблирована
2273,3-комнатная квартира,10.0,73.0,13.0,Восточный Парк,монолитный,2017.0,3.0,MISSING,MISSING
1634,4-комнатная квартира,4.0,112.4,5.0,MISSING,MISSING,1970.0,2.75,совмещенный,полностью меблирована
124,2-комнатная квартира,5.0,88.1,5.0,MISSING,MISSING,2010.0,2.7,2 с/у и более,частично меблирована
2438,2-комнатная квартира,4.0,45.0,4.0,MISSING,MISSING,1962.0,MISSING,совмещенный,полностью меблирована
210,1-комнатная квартира,1.0,11.0,4.0,MISSING,MISSING,1967.0,2.6,раздельный,частично меблирована
3785,1-комнатная квартира,7.0,54.0,7.0,ile de France,монолитный,2015.0,3.3,MISSING,MISSING
3996,4-комнатная квартира,1.0,205.2,4.0,Европолис,монолитный,2006.0,MISSING,2 с/у и более,частично меблирована
592,2-комнатная квартира,1.0,50.0,5.0,MISSING,MISSING,1979.0,MISSING,MISSING,полностью меблирована
3954,1-комнатная квартира,2.0,40.0,12.0,MISSING,MISSING,2017.0,MISSING,MISSING,MISSING
3086,2-комнатная квартира,9.0,68.0,10.0,НИКО на Толе би - Абдулиных,монолитный,2005.0,2.8,раздельный,MISSING
2859,1-комнатная квартира,15.0,38.0,15.0,Сункар,монолитный,2011.0,3.0,совмещенный,полностью меблирована
1583,3-комнатная квартира,1.0,59.0,4.0,MISSING,MISSING,1974.0,MISSING,совмещенный,полностью меблирована
2178,4-комнатная квартира,8.0,150.0,15.0,Самал Делюкс,монолитный,2008.0,3.0,2 с/у и более,частично меблирована
2939,6-комнатная квартира,2.0,330.0,3.0,Esentai City,монолитный,2017.0,3.25,2 с/у и более,пустая
1203,1-комнатная квартира,4.0,42.4,8.0,MISSING,MISSING,1974.0,MISSING,совмещенный,полностью меблирована
4036,4-комнатная квартира,7.0,183.0,21.0,Samal Tower,монолитный,2017.0,3.1,MISSING,MISSING
