index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
5767,2-комнатная квартира,8.0,57.0,9.0,MISSING,MISSING,1972.0,2.85,раздельный,частично меблирована
3646,2-комнатная квартира,18.0,75.0,18.0,Алтын Булак 1,монолитный,2015.0,2.7,совмещенный,полностью меблирована
478,3-комнатная квартира,17.0,115.0,18.0,Жастар Mag,монолитный,2008.0,3.2,2 с/у и более,полностью меблирована
3012,4-комнатная квартира,2.0,144.0,4.0,MISSING,MISSING,1964.0,-999.0,MISSING,MISSING
1634,3-комнатная квартира,5.0,90.0,5.0,MISSING,MISSING,1988.0,2.8,раздельный,полностью меблирована
3136,3-комнатная квартира,6.0,130.0,18.0,MISSING,MISSING,2007.0,3.0,2 с/у и более,частично меблирована
3720,4-комнатная квартира,4.0,120.0,13.0,Atlant,монолитный,2020.0,2.7,2 с/у и более,полностью меблирована
38,3-комнатная квартира,4.0,65.0,5.0,MISSING,MISSING,1977.0,-999.0,раздельный,MISSING
1497,2-комнатная квартира,7.0,54.0,8.0,MISSING,MISSING,1973.0,-999.0,MISSING,MISSING
250,3-комнатная квартира,4.0,82.5,7.0,MISSING,MISSING,1974.0,3.0,совмещенный,частично меблирована
5157,3-комнатная квартира,2.0,70.0,5.0,MISSING,MISSING,1984.0,2.75,раздельный,полностью меблирована
1081,3-комнатная квартира,16.0,80.0,20.0,Манхеттан (29 квартал),монолитный,2011.0,2.8,2 с/у и более,полностью меблирована
3460,1-комнатная квартира,1.0,40.0,9.0,MISSING,MISSING,1992.0,2.8,раздельный,полностью меблирована
5629,2-комнатная квартира,4.0,45.0,5.0,MISSING,MISSING,1978.0,-999.0,совмещенный,полностью меблирована
4769,2-комнатная квартира,1.0,42.0,5.0,MISSING,MISSING,1977.0,-999.0,совмещенный,частично меблирована
5561,2-комнатная квартира,7.0,75.0,18.0,Алтын Булак 2,монолитный,2016.0,3.0,совмещенный,полностью меблирована
201,3-комнатная квартира,3.0,60.0,5.0,MISSING,MISSING,1980.0,2.65,совмещенный,пустая
4089,2-комнатная квартира,6.0,70.0,18.0,Алтын Булак 2,монолитный,2013.0,3.0,совмещенный,частично меблирована
2910,1-комнатная квартира,2.0,33.6,4.0,MISSING,MISSING,1964.0,-999.0,совмещенный,MISSING
544,2-комнатная квартира,5.0,52.0,7.0,MISSING,кирпичный,1982.0,-999.0,раздельный,полностью меблирована
3074,3-комнатная квартира,3.0,64.0,5.0,MISSING,MISSING,1980.0,-999.0,MISSING,MISSING
4506,2-комнатная квартира,5.0,54.0,6.0,MISSING,MISSING,1984.0,2.7,раздельный,частично меблирована
4281,2-комнатная квартира,4.0,49.0,10.0,MISSING,MISSING,2021.0,3.0,совмещенный,пустая
2408,1-комнатная квартира,4.0,31.0,5.0,MISSING,MISSING,1973.0,-999.0,совмещенный,частично меблирована
5601,2-комнатная квартира,2.0,50.0,5.0,MISSING,MISSING,1985.0,-999.0,совмещенный,частично меблирована
4244,3-комнатная квартира,2.0,58.6,4.0,MISSING,MISSING,1964.0,-999.0,совмещенный,пустая
4914,2-комнатная квартира,4.0,51.0,4.0,MISSING,MISSING,1977.0,2.6,раздельный,пустая
1172,2-комнатная квартира,12.0,50.0,13.0,Varlamova,монолитный,2017.0,3.0,раздельный,пустая
3303,2-комнатная квартира,5.0,43.0,5.0,MISSING,MISSING,1975.0,-999.0,совмещенный,полностью меблирована
1061,3-комнатная квартира,11.0,165.0,13.0,MISSING,MISSING,2007.0,2.9,2 с/у и более,полностью меблирована
5216,1-комнатная квартира,1.0,30.5,5.0,MISSING,MISSING,1978.0,-999.0,совмещенный,частично меблирована
4183,3-комнатная квартира,4.0,74.0,5.0,MISSING,MISSING,1980.0,2.8,совмещенный,частично меблирована
3073,2-комнатная квартира,10.0,79.0,20.0,Манхеттан (29 квартал),монолитный,2012.0,2.8,совмещенный,MISSING
855,3-комнатная квартира,1.0,66.0,5.0,MISSING,MISSING,1978.0,2.7,раздельный,частично меблирована
3024,3-комнатная квартира,3.0,128.0,14.0,MISSING,MISSING,2008.0,-999.0,раздельный,частично меблирована
3884,3-комнатная квартира,6.0,90.0,9.0,MISSING,MISSING,2015.0,2.7,раздельный,полностью меблирована
213,1-комнатная квартира,4.0,46.0,10.0,MISSING,MISSING,2013.0,2.8,раздельный,частично меблирована
