index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
535,3-комнатная квартира,1.0,63.0,5.0,MISSING,MISSING,1973.0,2.8,раздельный,частично меблирована,31082734.0,30000000.0
2459,1-комнатная квартира,7.0,42.0,13.0,12 месяцев,монолитный,2017.0,2.8,совмещенный,пустая,18882756.0,18500000.0
1678,2-комнатная квартира,14.0,80.0,20.0,Манхеттан (29 квартал),MISSING,2012.0,3.0,2 с/у и более,полностью меблирована,42912564.0,40000000.0
1622,3-комнатная квартира,13.0,125.5,13.0,Жайлы,монолитный,2015.0,2.7,2 с/у и более,MISSING,42174216.0,44000000.0
2797,3-комнатная квартира,3.0,72.2,8.0,MISSING,MISSING,1977.0,2.8,раздельный,MISSING,38633692.0,38000000.0
3540,3-комнатная квартира,2.0,117.0,12.0,Жайлы,монолитный,2016.0,2.7,2 с/у и более,MISSING,38063844.0,32000000.0
3357,3-комнатная квартира,5.0,96.0,17.0,Алтын Булак 1,монолитный,2011.0,2.85,2 с/у и более,частично меблирована,44065596.0,43000000.0
4301,1-комнатная квартира,4.0,45.0,13.0,12 месяцев,монолитный,2021.0,2.8,совмещенный,MISSING,22035500.0,22500000.0
1024,2-комнатная квартира,2.0,54.0,3.0,MISSING,MISSING,1956.0,3.2,совмещенный,MISSING,32540958.0,30500000.0
3582,2-комнатная квартира,12.0,72.0,13.0,MISSING,MISSING,2017.0,-999.0,раздельный,MISSING,32691130.0,32200000.0
2417,3-комнатная квартира,2.0,70.0,14.0,MISSING,MISSING,2018.0,-999.0,совмещенный,частично меблирована,44686984.0,63500000.0
5495,2-комнатная квартира,8.0,60.0,16.0,ЖК на Ташкентской,MISSING,2019.0,2.8,MISSING,пустая,29775504.0,28000000.0
3989,4-комнатная квартира,11.0,121.0,13.0,Atlant,монолитный,2019.0,2.8,2 с/у и более,пустая,67761040.0,55000000.0
72,3-комнатная квартира,4.0,96.4,13.0,Double Star,монолитный,2021.0,3.0,MISSING,MISSING,50186364.0,54948000.0
4779,2-комнатная квартира,5.0,43.0,5.0,MISSING,MISSING,1979.0,2.0,совмещенный,полностью меблирована,21753210.0,25300000.0
4631,1-комнатная квартира,4.0,43.0,13.0,12 месяцев,MISSING,2021.0,-999.0,MISSING,MISSING,20693412.0,18600000.0
4480,1-комнатная квартира,5.0,38.0,5.0,MISSING,MISSING,1975.0,-999.0,совмещенный,частично меблирована,18960446.0,18300000.0
3324,2-комнатная квартира,3.0,60.0,4.0,MISSING,MISSING,1959.0,3.0,раздельный,полностью меблирована,38139764.0,27500000.0
4433,3-комнатная квартира,16.0,88.1,18.0,Манхеттан (29 квартал),кирпичный,2007.0,3.0,раздельный,полностью меблирована,50169750.0,40000000.0
1075,4-комнатная квартира,8.0,138.0,22.0,Столичный Центр,монолитный,2005.0,-999.0,MISSING,MISSING,121808104.0,127990000.0
642,3-комнатная квартира,3.0,57.0,5.0,MISSING,MISSING,1979.0,-999.0,MISSING,MISSING,27422312.0,28900000.0
1726,2-комнатная квартира,5.0,49.0,5.0,MISSING,MISSING,1978.0,-999.0,совмещенный,частично меблирована,24320336.0,20300000.0
1510,1-комнатная квартира,4.0,41.0,4.0,MISSING,MISSING,1986.0,2.75,совмещенный,MISSING,18883288.0,17500000.0
204,1-комнатная квартира,4.0,40.5,9.0,MISSING,MISSING,1980.0,3.0,совмещенный,частично меблирована,21691566.0,22000000.0
4076,3-комнатная квартира,6.0,80.0,7.0,MISSING,MISSING,2004.0,3.0,совмещенный,полностью меблирована,43467236.0,42500000.0
708,2-комнатная квартира,1.0,52.68,13.0,12 месяцев,монолитный,2021.0,2.8,MISSING,MISSING,25640690.0,21500000.0
117,2-комнатная квартира,2.0,44.2,4.0,MISSING,MISSING,1969.0,-999.0,совмещенный,полностью меблирована,23276620.0,21500000.0
4933,3-комнатная квартира,3.0,91.0,5.0,MISSING,MISSING,2005.0,2.8,MISSING,MISSING,46810844.0,42000000.0
1090,2-комнатная квартира,3.0,67.0,5.0,MISSING,кирпичный,1969.0,-999.0,совмещенный,полностью меблирована,36905930.0,37300000.0
5032,2-комнатная квартира,-999.0,65.0,-999.0,MISSING,MISSING,1975.0,-999.0,раздельный,частично меблирована,28481526.0,31500000.0
1977,2-комнатная квартира,3.0,50.0,5.0,MISSING,MISSING,1980.0,-999.0,MISSING,MISSING,26521020.0,34000000.0
2530,2-комнатная квартира,5.0,45.0,5.0,MISSING,MISSING,1975.0,2.8,совмещенный,частично меблирована,22442276.0,20500000.0
121,1-комнатная квартира,6.0,45.0,9.0,MISSING,MISSING,1980.0,2.9,совмещенный,MISSING,21887122.0,21800000.0
2454,1-комнатная квартира,4.0,44.0,13.0,12 месяцев,монолитный,2017.0,2.8,совмещенный,пустая,19359028.0,18500000.0
2419,1-комнатная квартира,10.0,45.0,13.0,12 месяцев,монолитный,2017.0,2.8,совмещенный,MISSING,21241244.0,22500000.0
1419,3-комнатная квартира,3.0,110.0,12.0,Exclusive Life,монолитный,2016.0,-999.0,2 с/у и более,полностью меблирована,74063030.0,84000000.0
2073,3-комнатная квартира,1.0,66.0,5.0,MISSING,MISSING,1979.0,2.8,раздельный,полностью меблирована,33117338.0,39000000.0
576,2-комнатная квартира,2.0,50.0,5.0,MISSING,MISSING,1978.0,-999.0,раздельный,частично меблирована,26908274.0,29500000.0
4318,1-комнатная квартира,4.0,42.0,4.0,MISSING,MISSING,1986.0,2.7,совмещенный,частично меблирована,18871782.0,19400000.0
