index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
857,2-комнатная квартира,10.0,56.0,12.0,Alatau City,монолитный,2018.0,2.7,MISSING,MISSING
803,2-комнатная квартира,1.0,53.3,2.0,MISSING,MISSING,1970.0,2.6,раздельный,полностью меблирована
1707,1-комнатная квартира,12.0,35.0,12.0,MISSING,MISSING,2017.0,-999.0,совмещенный,пустая
1946,1-комнатная квартира,8.0,35.0,12.0,Алмалы,монолитный,2017.0,-999.0,совмещенный,MISSING
1029,1-комнатная квартира,1.0,40.0,7.0,MISSING,MISSING,2015.0,2.7,совмещенный,полностью меблирована
949,2-комнатная квартира,6.0,67.0,9.0,Нуркент,монолитный,2018.0,2.8,2 с/у и более,частично меблирована
502,1-комнатная квартира,3.0,40.0,6.0,MISSING,MISSING,2022.0,2.7,MISSING,MISSING
1664,1-комнатная квартира,2.0,46.3,9.0,MISSING,MISSING,2021.0,-999.0,совмещенный,MISSING
1953,2-комнатная квартира,7.0,63.0,9.0,MISSING,MISSING,2010.0,-999.0,раздельный,частично меблирована
26,1-комнатная квартира,11.0,37.0,12.0,Алмалы,монолитный,2016.0,-999.0,совмещенный,MISSING
1445,1-комнатная квартира,6.0,33.0,7.0,Северное кольцо,монолитный,2014.0,2.8,совмещенный,частично меблирована
752,2-комнатная квартира,8.0,65.0,9.0,MISSING,MISSING,2010.0,-999.0,совмещенный,частично меблирована
1095,1-комнатная квартира,4.0,45.0,9.0,MISSING,MISSING,2015.0,-999.0,совмещенный,MISSING
651,2-комнатная квартира,7.0,54.0,12.0,Alatau City,монолитный,1975.0,2.7,совмещенный,частично меблирована
211,2-комнатная квартира,9.0,69.0,10.0,MISSING,MISSING,2013.0,2.8,MISSING,частично меблирована
7,2-комнатная квартира,1.0,64.0,9.0,MISSING,монолитный,2014.0,-999.0,совмещенный,частично меблирована
