index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
7,2-комнатная квартира,2.0,65.0,6.0,MISSING,MISSING,2009.0,2.7,раздельный,частично меблирована
772,2-комнатная квартира,2.0,61.0,6.0,MISSING,MISSING,2011.0,-999.0,раздельный,MISSING
711,1-комнатная квартира,5.0,42.0,5.0,MISSING,MISSING,1985.0,2.8,совмещенный,частично меблирована
694,3-комнатная квартира,1.0,100.0,4.0,MISSING,монолитный,1975.0,2.7,совмещенный,частично меблирована
1024,3-комнатная квартира,1.0,70.0,6.0,MISSING,MISSING,1996.0,-999.0,2 с/у и более,MISSING
1080,1-комнатная квартира,5.0,47.4,9.0,MISSING,MISSING,2005.0,-999.0,совмещенный,частично меблирована
1029,2-комнатная квартира,3.0,60.0,3.0,MISSING,MISSING,1975.0,-999.0,MISSING,MISSING
671,2-комнатная квартира,3.0,50.3,5.0,MISSING,MISSING,1987.0,-999.0,раздельный,частично меблирована
1481,1-комнатная квартира,3.0,40.0,6.0,MISSING,MISSING,2009.0,-999.0,MISSING,MISSING
82,2-комнатная квартира,10.0,66.0,10.0,Максима на Райымбека,монолитный,2007.0,2.7,раздельный,MISSING
855,2-комнатная квартира,3.0,40.0,3.0,MISSING,MISSING,1980.0,-999.0,совмещенный,MISSING
424,3-комнатная квартира,2.0,77.0,9.0,MISSING,MISSING,2007.0,-999.0,раздельный,полностью меблирована
762,3-комнатная квартира,4.0,58.0,5.0,MISSING,MISSING,1984.0,-999.0,совмещенный,пустая
785,3-комнатная квартира,5.0,92.0,9.0,MISSING,MISSING,2006.0,2.75,раздельный,частично меблирована
679,3-комнатная квартира,5.0,59.0,5.0,MISSING,MISSING,1985.0,2.5,раздельный,частично меблирована
423,2-комнатная квартира,-999.0,36.7,-999.0,MISSING,MISSING,1974.0,2.5,совмещенный,пустая
1014,1-комнатная квартира,3.0,42.0,5.0,MISSING,MISSING,1986.0,2.8,совмещенный,MISSING
604,2-комнатная квартира,4.0,60.0,5.0,MISSING,MISSING,2006.0,2.8,раздельный,полностью меблирована
813,3-комнатная квартира,4.0,87.0,6.0,MISSING,MISSING,2017.0,-999.0,раздельный,пустая
861,3-комнатная квартира,4.0,72.0,5.0,MISSING,MISSING,1988.0,-999.0,раздельный,MISSING
1566,1-комнатная квартира,2.0,40.0,5.0,MISSING,MISSING,1989.0,-999.0,MISSING,MISSING
1449,1-комнатная квартира,2.0,23.0,2.0,MISSING,MISSING,-999.0,2.5,совмещенный,полностью меблирована
1524,3-комнатная квартира,4.0,65.0,5.0,Мкр Кулагер,кирпичный,1991.0,2.6,раздельный,полностью меблирована
707,1-комнатная квартира,9.0,48.0,10.0,MISSING,MISSING,2006.0,-999.0,совмещенный,MISSING
1176,4-комнатная квартира,3.0,81.0,5.0,MISSING,MISSING,1987.0,-999.0,MISSING,MISSING
1695,2-комнатная квартира,4.0,57.9,5.0,MISSING,MISSING,-999.0,-999.0,раздельный,частично меблирована
1691,3-комнатная квартира,1.0,72.0,5.0,MISSING,MISSING,1985.0,-999.0,раздельный,MISSING
882,1-комнатная квартира,1.0,34.0,5.0,MISSING,MISSING,1989.0,2.7,совмещенный,пустая
27,3-комнатная квартира,10.0,75.0,10.0,Максима на Райымбека,монолитный,2007.0,2.7,раздельный,частично меблирована
410,1-комнатная квартира,9.0,47.7,9.0,MISSING,MISSING,2006.0,2.7,совмещенный,частично меблирована
801,1-комнатная квартира,2.0,44.0,9.0,Максима на Райымбека,монолитный,2006.0,2.7,совмещенный,полностью меблирована
1297,2-комнатная квартира,2.0,50.4,5.0,MISSING,панельный,1988.0,-999.0,раздельный,полностью меблирована
1378,4-комнатная квартира,5.0,83.0,5.0,MISSING,MISSING,1987.0,2.6,раздельный,MISSING
1622,2-комнатная квартира,3.0,72.0,3.0,MISSING,MISSING,1973.0,-999.0,раздельный,MISSING
1245,3-комнатная квартира,2.0,67.5,3.0,MISSING,MISSING,1987.0,2.8,раздельный,частично меблирована
665,2-комнатная квартира,5.0,42.0,5.0,MISSING,MISSING,1987.0,-999.0,раздельный,MISSING
