index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1421,2-комнатная квартира,2.0,64.0,5.0,MISSING,MISSING,2016,-999.0,раздельный,полностью меблирована
955,2-комнатная квартира,1.0,44.0,5.0,MISSING,MISSING,1989,-999.0,раздельный,MISSING
262,2-комнатная квартира,2.0,40.0,3.0,MISSING,MISSING,1968,2.7,совмещенный,MISSING
1246,3-комнатная квартира,4.0,64.0,4.0,MISSING,MISSING,1987,2.6,раздельный,частично меблирована
684,3-комнатная квартира,5.0,71.23,9.0,MISSING,MISSING,2021,2.7,раздельный,пустая
827,1-комнатная квартира,5.0,34.0,5.0,MISSING,MISSING,1989,-999.0,совмещенный,MISSING
1161,4-комнатная квартира,5.0,92.0,5.0,MISSING,MISSING,MISSING,-999.0,раздельный,полностью меблирована
828,1-комнатная квартира,1.0,17.0,5.0,MISSING,MISSING,1969,-999.0,MISSING,MISSING
1126,1-комнатная квартира,2.0,41.9,5.0,MISSING,MISSING,2008,2.7,совмещенный,пустая
1268,2-комнатная квартира,1.0,40.0,3.0,MISSING,MISSING,1961,-999.0,совмещенный,MISSING
1308,1-комнатная квартира,5.0,46.5,9.0,MISSING,MISSING,2007,2.8,совмещенный,MISSING
1383,2-комнатная квартира,2.0,42.5,3.0,MISSING,MISSING,1984,2.7,совмещенный,полностью меблирована
1015,2-комнатная квартира,1.0,43.0,2.0,MISSING,MISSING,MISSING,2.44,раздельный,частично меблирована
407,2-комнатная квартира,4.0,52.2,5.0,MISSING,MISSING,1997,2.75,раздельный,частично меблирована
555,3-комнатная квартира,3.0,57.3,3.0,MISSING,MISSING,1966,2.7,раздельный,полностью меблирована
1022,1-комнатная квартира,3.0,31.0,3.0,MISSING,MISSING,1964,-999.0,совмещенный,MISSING
951,2-комнатная квартира,4.0,69.1,5.0,MISSING,MISSING,2015,-999.0,раздельный,MISSING
106,3-комнатная квартира,1.0,77.0,1.0,MISSING,MISSING,2006,2.8,раздельный,частично меблирована
983,2-комнатная квартира,1.0,52.5,3.0,MISSING,MISSING,1987,2.7,совмещенный,частично меблирована
1147,1-комнатная квартира,5.0,40.0,5.0,MISSING,MISSING,MISSING,2.8,совмещенный,частично меблирована
47,3-комнатная квартира,3.0,65.0,3.0,MISSING,MISSING,1970,2.7,совмещенный,частично меблирована
1338,2-комнатная квартира,1.0,25.5,1.0,MISSING,MISSING,1990,2.8,MISSING,MISSING
387,2-комнатная квартира,4.0,47.0,10.0,Теремки,монолитный,2021,2.7,MISSING,MISSING
409,3-комнатная квартира,4.0,77.0,5.0,MISSING,MISSING,2005,3.0,раздельный,частично меблирована
1033,1-комнатная квартира,1.0,32.6,5.0,MISSING,MISSING,1991,2.8,совмещенный,полностью меблирована
380,3-комнатная квартира,1.0,61.0,1.0,MISSING,MISSING,1982,3.0,раздельный,MISSING
400,3-комнатная квартира,1.0,68.0,5.0,MISSING,MISSING,1978,3.0,раздельный,MISSING
559,2-комнатная квартира,3.0,65.0,5.0,MISSING,MISSING,2017,-999.0,раздельный,MISSING
1159,2-комнатная квартира,3.0,72.2,3.0,Nomad City,монолитный,2017,3.0,совмещенный,полностью меблирована
993,3-комнатная квартира,1.0,74.6,4.0,MISSING,MISSING,1973,2.7,раздельный,частично меблирована
1072,3-комнатная квартира,1.0,53.0,3.0,MISSING,MISSING,1961,2.65,совмещенный,частично меблирована
1216,2-комнатная квартира,4.0,51.4,5.0,MISSING,MISSING,1989,-999.0,раздельный,полностью меблирована
129,2-комнатная квартира,1.0,43.9,3.0,MISSING,MISSING,1973,2.7,раздельный,MISSING
1178,1-комнатная квартира,1.0,46.0,5.0,MISSING,MISSING,1986,2.8,раздельный,пустая
667,1-комнатная квартира,3.0,40.0,5.0,MISSING,MISSING,MISSING,2.8,совмещенный,MISSING
216,2-комнатная квартира,1.0,48.0,2.0,MISSING,MISSING,1954,-999.0,совмещенный,частично меблирована
1276,2-комнатная квартира,5.0,53.6,5.0,MISSING,MISSING,1996,2.7,раздельный,частично меблирована
1215,1-комнатная квартира,1.0,37.0,3.0,MISSING,MISSING,1986,-999.0,совмещенный,MISSING
590,2-комнатная квартира,1.0,54.0,3.0,MISSING,MISSING,1984,-999.0,раздельный,MISSING
992,3-комнатная квартира,5.0,75.8,9.0,MISSING,MISSING,2016,2.75,раздельный,MISSING
1317,1-комнатная квартира,2.0,35.0,3.0,MISSING,MISSING,1985,-999.0,совмещенный,MISSING
907,2-комнатная квартира,2.0,40.0,2.0,MISSING,MISSING,1964,2.5,совмещенный,частично меблирована
729,2-комнатная квартира,7.0,60.34,10.0,Теремки,MISSING,2022,2.7,MISSING,MISSING
572,2-комнатная квартира,4.0,64.0,5.0,MISSING,MISSING,2017,2.8,раздельный,пустая
205,3-комнатная квартира,9.0,95.0,9.0,MISSING,MISSING,2007,-999.0,раздельный,частично меблирована
886,3-комнатная квартира,1.0,85.0,5.0,MISSING,MISSING,2018,2.64,раздельный,полностью меблирована
146,2-комнатная квартира,1.0,47.0,2.0,MISSING,MISSING,MISSING,2.8,совмещенный,пустая
360,3-комнатная квартира,1.0,85.0,2.0,MISSING,MISSING,1955,2.8,раздельный,MISSING
177,3-комнатная квартира,1.0,70.0,5.0,MISSING,MISSING,1990,2.5,раздельный,частично меблирована
385,3-комнатная квартира,3.0,64.0,4.0,MISSING,MISSING,1976,-999.0,MISSING,MISSING
320,3-комнатная квартира,1.0,50.0,3.0,MISSING,MISSING,MISSING,3.0,совмещенный,частично меблирована
288,2-комнатная квартира,2.0,22.5,2.0,MISSING,MISSING,1970,2.8,совмещенный,полностью меблирована
751,3-комнатная квартира,1.0,67.1,5.0,MISSING,MISSING,1993,-999.0,раздельный,MISSING
1214,2-комнатная квартира,1.0,54.5,2.0,MISSING,MISSING,1960,2.8,раздельный,частично меблирована
168,2-комнатная квартира,5.0,57.0,6.0,MISSING,MISSING,MISSING,2.65,раздельный,частично меблирована
1134,3-комнатная квартира,6.0,82.0,9.0,MISSING,монолитный,2017,-999.0,раздельный,частично меблирована
1142,1-комнатная квартира,4.0,40.0,5.0,MISSING,монолитный,2017,-999.0,MISSING,частично меблирована
1420,2-комнатная квартира,4.0,53.9,5.0,MISSING,MISSING,2013,2.6,раздельный,частично меблирована
414,3-комнатная квартира,2.0,65.6,12.0,Радужный берег,MISSING,2016,2.8,совмещенный,MISSING
198,1-комнатная квартира,4.0,40.0,5.0,MISSING,MISSING,2017,-999.0,совмещенный,MISSING
300,2-комнатная квартира,5.0,71.0,10.0,Теремки,монолитный,2021,2.7,2 с/у и более,пустая
807,1-комнатная квартира,1.0,30.9,5.0,MISSING,MISSING,1988,2.7,совмещенный,MISSING
1309,3-комнатная квартира,5.0,64.7,5.0,MISSING,MISSING,1990,2.8,раздельный,MISSING
1132,2-комнатная квартира,4.0,64.0,9.0,MISSING,MISSING,2016,-999.0,совмещенный,частично меблирована
737,3-комнатная квартира,3.0,65.2,5.0,MISSING,MISSING,1988,2.75,раздельный,частично меблирована
741,1-комнатная квартира,5.0,38.0,6.0,MISSING,MISSING,2007,2.8,совмещенный,MISSING
321,1-комнатная квартира,3.0,30.0,3.0,MISSING,MISSING,1964,-999.0,совмещенный,MISSING
1118,1-комнатная квартира,3.0,18.0,3.0,MISSING,MISSING,1979,-999.0,совмещенный,частично меблирована
596,2-комнатная квартира,1.0,48.0,9.0,MISSING,MISSING,1988,-999.0,раздельный,частично меблирована
1274,1-комнатная квартира,2.0,33.0,4.0,MISSING,MISSING,1977,2.7,совмещенный,частично меблирована
782,3-комнатная квартира,1.0,56.0,3.0,MISSING,MISSING,1970,2.7,раздельный,пустая
735,2-комнатная квартира,3.0,48.0,4.0,MISSING,MISSING,1980,-999.0,раздельный,MISSING
443,1-комнатная квартира,9.0,46.0,9.0,MISSING,MISSING,2016,2.75,совмещенный,полностью меблирована
468,2-комнатная квартира,2.0,45.0,4.0,MISSING,MISSING,1974,2.5,раздельный,полностью меблирована
65,1-комнатная квартира,3.0,34.4,5.0,MISSING,MISSING,1986,-999.0,совмещенный,частично меблирована
350,3-комнатная квартира,1.0,70.0,3.0,MISSING,MISSING,1982,-999.0,MISSING,MISSING
202,1-комнатная квартира,2.0,40.0,5.0,MISSING,монолитный,2017,-999.0,совмещенный,MISSING
78,3-комнатная квартира,2.0,62.0,2.0,MISSING,MISSING,1959,3.2,раздельный,полностью меблирована
336,4-комнатная квартира,3.0,97.0,5.0,MISSING,MISSING,1989,2.8,раздельный,пустая
862,1-комнатная квартира,1.0,31.0,2.0,MISSING,MISSING,MISSING,2.7,совмещенный,частично меблирована
1055,2-комнатная квартира,1.0,33.6,1.0,MISSING,MISSING,1992,2.7,раздельный,MISSING
1043,1-комнатная квартира,7.0,46.0,9.0,MISSING,MISSING,2015,-999.0,совмещенный,MISSING
308,3-комнатная квартира,1.0,59.0,2.0,MISSING,MISSING,MISSING,-999.0,раздельный,MISSING
418,2-комнатная квартира,1.0,44.3,5.0,MISSING,MISSING,1989,2.8,раздельный,частично меблирована
1417,1-комнатная квартира,3.0,20.0,3.0,MISSING,MISSING,1962,2.6,раздельный,пустая
217,2-комнатная квартира,2.0,46.5,4.0,MISSING,MISSING,1972,2.7,раздельный,MISSING
1094,2-комнатная квартира,3.0,52.2,5.0,MISSING,MISSING,MISSING,-999.0,MISSING,MISSING
204,3-комнатная квартира,3.0,66.0,3.0,MISSING,MISSING,1985,-999.0,совмещенный,MISSING
473,3-комнатная квартира,6.0,70.0,9.0,MISSING,MISSING,2020,-999.0,раздельный,MISSING
