index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture,prediction,true_value
117,2-комнатная квартира,10.0,69.93,12.0,Union,монолитный,2022.0,3,MISSING,MISSING,39642316.0,35314650.0
7643,3-комнатная квартира,1.0,70.0,5.0,MISSING,панельный,1989.0,2.7,раздельный,частично меблирована,35765452.0,28500000.0
7740,3-комнатная квартира,3.0,86.0,6.0,MISSING,MISSING,2014.0,MISSING,2 с/у и более,частично меблирована,57018920.0,54500000.0
3561,4-комнатная квартира,2.0,150.0,4.0,Батыр,кирпичный,2011.0,3.1,2 с/у и более,полностью меблирована,94255590.0,80000000.0
743,4-комнатная квартира,3.0,85.0,14.0,Abay Residence,монолитный,2014.0,2.8,2 с/у и более,MISSING,50942124.0,59000000.0
3437,3-комнатная квартира,12.0,103.6,12.0,Central Avenue,MISSING,2020.0,MISSING,MISSING,MISSING,73641000.0,93240000.0
6600,5-комнатная квартира,-999.0,360.0,-999.0,Солнечная Долина (КГ),монолитный,2009.0,MISSING,2 с/у и более,частично меблирована,291749900.0,350000000.0
4394,4-комнатная квартира,2.0,160.0,3.0,Bright Hills,кирпичный,2018.0,3.2,2 с/у и более,MISSING,151382480.0,103200000.0
1460,1-комнатная квартира,1.0,30.0,4.0,MISSING,MISSING,1983.0,MISSING,совмещенный,пустая,16225487.0,19500000.0
9517,2-комнатная квартира,4.0,40.0,4.0,MISSING,MISSING,1962.0,2.6,совмещенный,частично меблирована,17859248.0,22000000.0
6403,3-комнатная квартира,2.0,58.0,4.0,MISSING,MISSING,1970.0,MISSING,раздельный,MISSING,26225528.0,25300000.0
2659,4-комнатная квартира,2.0,96.0,12.0,Element,монолитный,2018.0,3,2 с/у и более,полностью меблирована,78255590.0,76500000.0
2391,2-комнатная квартира,2.0,52.0,3.0,MISSING,MISSING,1960.0,2.8,раздельный,MISSING,25114382.0,26000000.0
2880,4-комнатная квартира,14.0,148.5,16.0,Дом на Абая,монолитный,2018.0,3,2 с/у и более,MISSING,107373896.0,75000000.0
8641,2-комнатная квартира,2.0,42.0,4.0,MISSING,MISSING,1970.0,MISSING,совмещенный,частично меблирована,20887132.0,20000000.0
8812,2-комнатная квартира,3.0,45.0,5.0,MISSING,MISSING,1975.0,MISSING,совмещенный,MISSING,22283064.0,22500000.0
3901,2-комнатная квартира,14.0,52.0,16.0,Шахристан,монолитный,2015.0,2.95,совмещенный,MISSING,35219228.0,33000000.0
6595,2-комнатная квартира,2.0,54.0,5.0,MISSING,MISSING,1980.0,MISSING,MISSING,MISSING,27352972.0,27500000.0
7984,2-комнатная квартира,9.0,52.6,9.0,MISSING,MISSING,1980.0,2.6,раздельный,частично меблирована,28788376.0,24400000.0
3657,2-комнатная квартира,3.0,59.6,12.0,Акварель,монолитный,2016.0,MISSING,раздельный,частично меблирована,35991708.0,37000000.0
7804,1-комнатная квартира,5.0,31.0,5.0,MISSING,MISSING,-999.0,MISSING,MISSING,MISSING,16999866.0,18500000.0
1806,4-комнатная квартира,9.0,150.0,9.0,MISSING,MISSING,2002.0,2,2 с/у и более,частично меблирована,181168080.0,61000000.0
1422,3-комнатная квартира,9.0,77.0,12.0,Central Avenue,монолитный,2017.0,3,2 с/у и более,полностью меблирована,64742830.0,74999999.0
7781,3-комнатная квартира,7.0,123.4,19.0,Тенгиз Тауэрс,монолитный,2009.0,MISSING,MISSING,MISSING,70783430.0,71000000.0
2375,2-комнатная квартира,7.0,50.71,12.0,Amir,монолитный,2022.0,3,совмещенный,пустая,32243226.0,38500000.0
5740,3-комнатная квартира,7.0,130.0,21.0,Тенгиз Тауэрс,монолитный,2007.0,3,раздельный,частично меблирована,74941240.0,75000000.0
345,2-комнатная квартира,10.0,53.0,16.0,Jazz-квартал,монолитный,2018.0,3,MISSING,полностью меблирована,39076936.0,41800000.0
8656,3-комнатная квартира,8.0,81.0,12.0,Element,монолитный,2020.0,MISSING,2 с/у и более,MISSING,59151830.0,56000000.0
901,3-комнатная квартира,10.0,84.0,12.0,Акварель,монолитный,2017.0,MISSING,совмещенный,частично меблирована,50550216.0,54000000.0
6674,2-комнатная квартира,2.0,101.2,8.0,Солнечная Долина,монолитный,2008.0,2.9,2 с/у и более,MISSING,72660620.0,75000000.0
9725,3-комнатная квартира,4.0,72.2,9.0,MISSING,MISSING,1994.0,MISSING,раздельный,частично меблирована,35691856.0,35000000.0
8194,3-комнатная квартира,5.0,132.0,21.0,AFD Plaza,монолитный,2014.0,MISSING,MISSING,MISSING,98401640.0,92000000.0
620,2-комнатная квартира,10.0,53.0,18.0,Шахристан,монолитный,2015.0,2.95,MISSING,MISSING,33161460.0,31900000.0
1631,2-комнатная квартира,2.0,43.0,5.0,MISSING,MISSING,1973.0,MISSING,совмещенный,частично меблирована,22146672.0,21000000.0
1032,1-комнатная квартира,2.0,43.0,14.0,Braun,монолитный,2018.0,2.85,совмещенный,MISSING,35115212.0,34000000.0
7302,1-комнатная квартира,5.0,32.9,5.0,MISSING,MISSING,1982.0,MISSING,совмещенный,полностью меблирована,18427742.0,20000000.0
3514,2-комнатная квартира,8.0,51.0,12.0,Асыл Тау,монолитный,2016.0,2.7,раздельный,MISSING,33232856.0,32000000.0
2652,4-комнатная квартира,7.0,172.0,12.0,Алтын Заман,монолитный,2007.0,MISSING,MISSING,MISSING,97145390.0,90000000.0
