index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
3620,2-комнатная квартира,3.0,44.2,4.0,MISSING,MISSING,1976.0,2.5,MISSING,частично меблирована
5964,1-комнатная квартира,3.0,30.0,4.0,MISSING,MISSING,1970.0,MISSING,совмещенный,MISSING
3641,3-комнатная квартира,2.0,97.0,12.0,Асыл Тау,монолитный,2016.0,2.8,раздельный,частично меблирована
170,3-комнатная квартира,4.0,59.0,5.0,MISSING,MISSING,1974.0,MISSING,раздельный,MISSING
4478,1-комнатная квартира,4.0,39.5,12.0,Акварель,монолитный,2019.0,2.74,совмещенный,полностью меблирована
6600,5-комнатная квартира,-999.0,360.0,-999.0,Солнечная Долина (КГ),монолитный,2009.0,MISSING,2 с/у и более,частично меблирована
8148,1-комнатная квартира,1.0,33.0,5.0,MISSING,MISSING,1980.0,2.7,совмещенный,частично меблирована
90,2-комнатная квартира,16.0,63.0,17.0,Асыл Тау,монолитный,2016.0,MISSING,MISSING,MISSING
2076,2-комнатная квартира,2.0,45.0,5.0,MISSING,MISSING,1973.0,MISSING,MISSING,частично меблирована
8460,5-комнатная квартира,11.0,240.0,22.0,Esentai Apartments,монолитный,2008.0,MISSING,2 с/у и более,полностью меблирована
8108,4-комнатная квартира,6.0,134.0,9.0,MISSING,MISSING,2010.0,MISSING,2 с/у и более,частично меблирована
6717,2-комнатная квартира,3.0,42.2,5.0,MISSING,MISSING,1976.0,MISSING,совмещенный,MISSING
6622,4-комнатная квартира,6.0,140.5,18.0,Шахристан,монолитный,2015.0,MISSING,2 с/у и более,MISSING
8846,1-комнатная квартира,1.0,40.0,9.0,MISSING,MISSING,1982.0,2.8,совмещенный,полностью меблирована
7111,1-комнатная квартира,3.0,36.0,3.0,MISSING,MISSING,1991.0,MISSING,совмещенный,полностью меблирована
3292,3-комнатная квартира,1.0,118.1,13.0,MISSING,MISSING,2006.0,MISSING,раздельный,частично меблирована
9288,2-комнатная квартира,4.0,44.8,5.0,MISSING,MISSING,1977.0,2.5,раздельный,полностью меблирована
5593,1-комнатная квартира,4.0,34.0,4.0,MISSING,MISSING,1965.0,MISSING,совмещенный,полностью меблирована
9461,4-комнатная квартира,4.0,178.0,4.0,Долина роз,MISSING,2008.0,MISSING,MISSING,MISSING
5135,2-комнатная квартира,11.0,65.0,16.0,Толе би Тау,монолитный,2011.0,2.8,совмещенный,полностью меблирована
2316,2-комнатная квартира,4.0,65.0,12.0,Акварель,монолитный,2017.0,MISSING,совмещенный,частично меблирована
6844,2-комнатная квартира,1.0,69.2,13.0,Оркен,монолитный,2020.0,3,2 с/у и более,MISSING
5651,2-комнатная квартира,1.0,43.2,4.0,MISSING,MISSING,1972.0,MISSING,совмещенный,MISSING
6954,1-комнатная квартира,2.0,30.4,4.0,MISSING,MISSING,1960.0,2.6,совмещенный,полностью меблирована
3832,2-комнатная квартира,-999.0,55.0,-999.0,Gagarin Terrace,монолитный,2018.0,MISSING,MISSING,MISSING
9129,3-комнатная квартира,18.0,110.0,19.0,Алтын Булак 2,монолитный,2012.0,2.8,MISSING,MISSING
7212,3-комнатная квартира,1.0,64.3,2.0,MISSING,MISSING,1960.0,3.2,раздельный,частично меблирована
3372,2-комнатная квартира,12.0,55.0,12.0,Асыл Тау,монолитный,2016.0,2.8,совмещенный,частично меблирована
5850,1-комнатная квартира,6.0,60.5,9.0,MISSING,MISSING,2018.0,MISSING,MISSING,MISSING
9711,3-комнатная квартира,8.0,85.0,17.0,4YOU,монолитный,2021.0,2.7,2 с/у и более,MISSING
2839,3-комнатная квартира,3.0,58.0,4.0,MISSING,MISSING,1979.0,MISSING,раздельный,частично меблирована
2565,1-комнатная квартира,4.0,38.3,12.0,Акварель,монолитный,2021.0,2.74,совмещенный,пустая
4633,3-комнатная квартира,5.0,100.0,12.0,Асыл Тобе,монолитный,2021.0,MISSING,2 с/у и более,частично меблирована
8472,4-комнатная квартира,1.0,157.0,7.0,MISSING,MISSING,2015.0,MISSING,2 с/у и более,полностью меблирована
1572,1-комнатная квартира,5.0,46.0,14.0,Ala Park,монолитный,2022.0,2.8,MISSING,MISSING
2789,3-комнатная квартира,7.0,170.0,7.0,Солнечная Долина,монолитный,2009.0,MISSING,2 с/у и более,полностью меблирована
8988,1-комнатная квартира,9.0,35.0,9.0,MISSING,MISSING,1984.0,2.75,совмещенный,полностью меблирована
3585,3-комнатная квартира,5.0,72.0,9.0,MISSING,MISSING,1990.0,MISSING,раздельный,частично меблирована
4755,4-комнатная квартира,21.0,170.0,21.0,AFD Plaza,монолитный,2014.0,MISSING,2 с/у и более,полностью меблирована
9656,4-комнатная квартира,1.0,184.0,3.0,Ремизовка,кирпичный,2015.0,3.2,2 с/у и более,частично меблирована
6257,4-комнатная квартира,4.0,75.0,4.0,MISSING,MISSING,1975.0,MISSING,раздельный,полностью меблирована
4095,3-комнатная квартира,1.0,110.6,6.0,Наурыз-2,монолитный,2014.0,3,2 с/у и более,полностью меблирована
114,4-комнатная квартира,-999.0,111.1,-999.0,Grande vie,MISSING,2022.0,3,2 с/у и более,MISSING
929,1-комнатная квартира,16.0,43.6,16.0,Riviera,монолитный,2016.0,MISSING,MISSING,MISSING
8390,1-комнатная квартира,1.0,46.0,16.0,Толе би Тау,монолитный,2011.0,2.8,MISSING,MISSING
2837,3-комнатная квартира,5.0,77.0,9.0,MISSING,MISSING,1978.0,MISSING,раздельный,частично меблирована
2494,3-комнатная квартира,2.0,100.0,16.0,Terra,монолитный,2021.0,2.85,2 с/у и более,MISSING
1837,2-комнатная квартира,4.0,50.0,9.0,Abay 130,монолитный,2018.0,2.85,совмещенный,MISSING
1077,3-комнатная квартира,11.0,110.0,25.0,Mega Tower Almaty,монолитный,2013.0,2.8,MISSING,полностью меблирована
635,2-комнатная квартира,4.0,90.0,18.0,Өркендеу,монолитный,2016.0,3,2 с/у и более,полностью меблирована
5982,1-комнатная квартира,5.0,33.3,5.0,MISSING,MISSING,1983.0,2.7,совмещенный,полностью меблирована
4761,2-комнатная квартира,5.0,42.1,5.0,MISSING,MISSING,1973.0,MISSING,совмещенный,частично меблирована
3842,2-комнатная квартира,6.0,61.0,16.0,Өркендеу,монолитный,2016.0,2.95,совмещенный,частично меблирована
6145,1-комнатная квартира,9.0,54.5,15.0,MISSING,MISSING,2015.0,2.8,совмещенный,частично меблирована
448,1-комнатная квартира,7.0,40.0,9.0,MISSING,MISSING,1989.0,MISSING,совмещенный,частично меблирована
6797,3-комнатная квартира,7.0,120.0,21.0,MISSING,MISSING,2010.0,MISSING,2 с/у и более,MISSING
644,1-комнатная квартира,5.0,32.0,5.0,MISSING,MISSING,1975.0,MISSING,совмещенный,MISSING
7317,1-комнатная квартира,3.0,33.8,5.0,MISSING,MISSING,1984.0,MISSING,совмещенный,полностью меблирована
6631,3-комнатная квартира,1.0,62.0,1.0,MISSING,MISSING,1976.0,MISSING,2 с/у и более,MISSING
5772,1-комнатная квартира,5.0,32.0,5.0,MISSING,MISSING,1981.0,MISSING,совмещенный,MISSING
8320,3-комнатная квартира,11.0,141.0,14.0,КУАТ на Торайгырова - Саина,монолитный,2006.0,2.8,2 с/у и более,полностью меблирована
5807,1-комнатная квартира,14.0,56.0,15.0,Тау Самал на Навои,монолитный,2011.0,3,MISSING,MISSING
3951,3-комнатная квартира,1.0,112.0,3.0,Династия,монолитный,2021.0,3.1,2 с/у и более,MISSING
9462,3-комнатная квартира,4.0,58.0,4.0,MISSING,MISSING,1967.0,MISSING,совмещенный,MISSING
864,2-комнатная квартира,2.0,44.0,5.0,MISSING,MISSING,1980.0,MISSING,совмещенный,частично меблирована
1601,3-комнатная квартира,-999.0,128.0,-999.0,AFD Plaza,монолитный,2015.0,3,2 с/у и более,частично меблирована
2447,2-комнатная квартира,1.0,33.4,6.0,Аскар Тау,монолитный,2014.0,2.7,совмещенный,частично меблирована
4156,4-комнатная квартира,16.0,150.0,17.0,Гаухартас,монолитный,2010.0,MISSING,2 с/у и более,полностью меблирована
7180,2-комнатная квартира,3.0,51.0,5.0,MISSING,MISSING,1992.0,2.8,раздельный,MISSING
6390,2-комнатная квартира,3.0,62.0,10.0,MISSING,MISSING,2009.0,MISSING,совмещенный,частично меблирована
2532,1-комнатная квартира,3.0,35.0,5.0,MISSING,MISSING,1985.0,2.8,совмещенный,MISSING
6225,2-комнатная квартира,2.0,61.4,16.0,Central Esentai Residence,монолитный,2019.0,2.8,раздельный,частично меблирована
2534,1-комнатная квартира,3.0,30.0,3.0,MISSING,MISSING,1962.0,2.7,совмещенный,частично меблирована
2275,1-комнатная квартира,2.0,43.0,14.0,Braun,монолитный,2018.0,2.85,MISSING,MISSING
9387,3-комнатная квартира,12.0,115.0,21.0,Тенгиз Тауэрс,MISSING,2005.0,3,2 с/у и более,частично меблирована
9510,2-комнатная квартира,13.0,50.0,16.0,Солнечный Квартал,монолитный,2014.0,2.8,раздельный,MISSING
8042,3-комнатная квартира,5.0,87.2,16.0,Central Esentai Residence,монолитный,2017.0,2.8,2 с/у и более,MISSING
6367,2-комнатная квартира,16.0,70.0,17.0,Гаухартас,монолитный,2010.0,2.8,совмещенный,полностью меблирована
2981,2-комнатная квартира,17.0,53.0,17.0,MISSING,MISSING,2017.0,MISSING,MISSING,MISSING
2756,2-комнатная квартира,10.0,85.0,11.0,Gagarin Park,монолитный,2017.0,3,совмещенный,MISSING
6993,2-комнатная квартира,6.0,72.0,18.0,Алтын Булак 1,монолитный,2012.0,MISSING,раздельный,полностью меблирована
1307,3-комнатная квартира,3.0,70.0,9.0,MISSING,MISSING,1980.0,MISSING,MISSING,MISSING
