index,number_of_rooms,Floor,area,Total_Floor,residential_complex,house_type,year_of_building,Ceiling,bathroom_unit,furniture
1845,2-комнатная квартира,5.0,57.55,12.0,Gulder,монолитный,2022,2.7,совмещенный,MISSING
1007,1-комнатная квартира,6.0,46.0,10.0,MISSING,MISSING,2017,2.7,совмещенный,частично меблирована
1497,1-комнатная квартира,9.0,28.0,10.0,Alma City,MISSING,2020,2.7,совмещенный,MISSING
644,3-комнатная квартира,5.0,76.0,6.0,MISSING,MISSING,2017,-999.0,раздельный,MISSING
351,2-комнатная квартира,16.0,75.3,16.0,Премьера,монолитный,2012,2.8,совмещенный,частично меблирована
322,1-комнатная квартира,3.0,31.03,10.0,MISSING,MISSING,2022,2.8,MISSING,MISSING
1470,2-комнатная квартира,5.0,58.0,16.0,Gulder,монолитный,2022,2.7,MISSING,пустая
459,3-комнатная квартира,3.0,74.5,9.0,MISSING,MISSING,2018,2.75,раздельный,полностью меблирована
230,1-комнатная квартира,1.0,33.0,9.0,Шугыла-Сити,монолитный,2020,-999.0,совмещенный,полностью меблирована
663,1-комнатная квартира,4.0,38.35,16.0,MISSING,MISSING,2021,-999.0,MISSING,MISSING
143,2-комнатная квартира,10.0,74.0,16.0,Премьера,монолитный,2014,-999.0,совмещенный,частично меблирована
297,1-комнатная квартира,8.0,42.43,10.0,Alma City,монолитный,2020,2.7,MISSING,полностью меблирована
1036,4-комнатная квартира,4.0,94.0,5.0,MISSING,MISSING,1993,-999.0,2 с/у и более,частично меблирована
586,2-комнатная квартира,3.0,43.0,5.0,MISSING,MISSING,1989,-999.0,совмещенный,частично меблирована
980,3-комнатная квартира,2.0,65.0,10.0,MISSING,MISSING,2013,-999.0,MISSING,MISSING
921,1-комнатная квартира,7.0,52.0,10.0,MISSING,MISSING,2021,-999.0,MISSING,MISSING
205,1-комнатная квартира,7.0,42.0,10.0,Alma City,монолитный,2020,2.8,MISSING,MISSING
1283,1-комнатная квартира,4.0,60.0,16.0,Премьера,MISSING,2014,2.7,совмещенный,полностью меблирована
498,3-комнатная квартира,2.0,83.8,4.0,Dolce Vita Residence,кирпичный,2021,3.0,раздельный,MISSING
1540,2-комнатная квартира,13.0,73.8,16.0,Премьера,монолитный,2012,2.8,совмещенный,частично меблирована
375,2-комнатная квартира,5.0,70.0,10.0,MISSING,MISSING,2021,3.0,совмещенный,пустая
600,5-комнатная квартира,2.0,172.0,2.0,Тау Самал (КГ),кирпичный,2019,3.15,2 с/у и более,частично меблирована
721,3-комнатная квартира,3.0,77.0,6.0,Alma City,монолитный,2019,2.8,раздельный,MISSING
534,1-комнатная квартира,6.0,45.0,9.0,MISSING,MISSING,MISSING,2.8,совмещенный,полностью меблирована
736,1-комнатная квартира,5.0,40.0,9.0,Шугыла,MISSING,2019,2.75,совмещенный,частично меблирована
1522,2-комнатная квартира,9.0,93.0,16.0,MISSING,MISSING,2013,2.8,совмещенный,частично меблирована
1067,1-комнатная квартира,9.0,47.4,10.0,MISSING,MISSING,2016,-999.0,совмещенный,MISSING
1209,4-комнатная квартира,3.0,165.0,6.0,MISSING,MISSING,2013,3.2,2 с/у и более,полностью меблирована
931,1-комнатная квартира,1.0,40.0,2.0,MISSING,MISSING,1978,-999.0,совмещенный,MISSING
1611,3-комнатная квартира,10.0,133.0,16.0,Премьера,монолитный,MISSING,-999.0,MISSING,MISSING
1584,2-комнатная квартира,15.0,98.0,16.0,Премьера,монолитный,2013,2.8,совмещенный,частично меблирована
